SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000285-d2o-2mM-6-7-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 144 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.385e+00     2.771e-03  
T     =       3.592s      183.219s  

RSS   =    1.044e-02
SD    =    1.865e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.052e+00     5.156e-02
    2       2.000s     8.381e-01     7.967e-01    -4.138e-02
    3       3.000s     6.545e-01     6.037e-01    -5.081e-02
    4       4.000s     4.819e-01     4.577e-01    -2.426e-02
    5       5.000s     3.428e-01     3.471e-01     4.338e-03
    6       6.000s     2.419e-01     2.634e-01     2.145e-02
    7       7.000s     1.730e-01     2.000e-01     2.699e-02
    8       8.000s     1.271e-01     1.521e-01     2.499e-02
    9       9.000s     9.607e-02     1.157e-01     1.966e-02
   10      10.000s     7.396e-02     8.824e-02     1.427e-02
   11      11.000s     5.754e-02     6.742e-02     9.881e-03
   12      12.000s     4.573e-02     5.165e-02     5.922e-03
   13      13.000s     3.727e-02     3.972e-02     2.452e-03
   14      14.000s     3.038e-02     3.068e-02     3.004e-04
   15      15.000s     2.460e-02     2.383e-02    -7.621e-04
   16      16.000s     2.053e-02     1.865e-02    -1.877e-03
   17      17.000s     1.780e-02     1.472e-02    -3.081e-03
   18      18.000s     1.524e-02     1.174e-02    -3.495e-03
   19      19.000s     1.293e-02     9.486e-03    -3.441e-03
   20      20.000s     1.193e-02     7.774e-03    -4.159e-03
   21      21.000s     1.192e-02     6.475e-03    -5.447e-03
   22      22.000s     1.138e-02     5.489e-03    -5.891e-03
   23      23.000s     1.020e-02     4.739e-03    -5.457e-03
   24      24.000s     9.642e-03     4.168e-03    -5.474e-03
   25      25.000s     9.683e-03     3.732e-03    -5.951e-03
   26      26.000s     8.913e-03     3.400e-03    -5.513e-03
   27      27.000s     7.422e-03     3.145e-03    -4.277e-03
   28      28.000s     7.001e-03     2.948e-03    -4.052e-03
   29      29.000s     7.917e-03     2.797e-03    -5.120e-03
   30      30.000s     8.213e-03     2.679e-03    -5.534e-03

============================================================

