SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000015-d2o-2mM-6-20-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.381e+00     8.399e-03  
T     =       3.753s    155084760297609.531s  

RSS   =    2.410e-02
SD    =    2.834e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.066e+00     6.600e-02
    2       2.000s     8.523e-01     8.186e-01    -3.371e-02
    3       3.000s     6.924e-01     6.291e-01    -6.332e-02
    4       4.000s     5.399e-01     4.839e-01    -5.600e-02
    5       5.000s     3.961e-01     3.727e-01    -2.339e-02
    6       6.000s     2.721e-01     2.875e-01     1.541e-02
    7       7.000s     1.825e-01     2.222e-01     3.972e-02
    8       8.000s     1.263e-01     1.722e-01     4.590e-02
    9       9.000s     9.043e-02     1.339e-01     4.345e-02
   10      10.000s     6.618e-02     1.045e-01     3.835e-02
   11      11.000s     5.173e-02     8.204e-02     3.031e-02
   12      12.000s     4.421e-02     6.482e-02     2.060e-02
   13      13.000s     3.974e-02     5.162e-02     1.188e-02
   14      14.000s     3.845e-02     4.151e-02     3.063e-03
   15      15.000s     4.152e-02     3.377e-02    -7.755e-03
   16      16.000s     4.540e-02     2.783e-02    -1.757e-02
   17      17.000s     4.517e-02     2.329e-02    -2.189e-02
   18      18.000s     4.107e-02     1.980e-02    -2.126e-02
   19      19.000s     3.598e-02     1.714e-02    -1.884e-02
   20      20.000s     2.995e-02     1.509e-02    -1.486e-02
   21      21.000s     2.272e-02     1.353e-02    -9.190e-03
   22      22.000s     1.787e-02     1.233e-02    -5.539e-03
   23      23.000s     1.801e-02     1.141e-02    -6.606e-03
   24      24.000s     1.890e-02     1.070e-02    -8.195e-03
   25      25.000s     1.517e-02     1.017e-02    -5.009e-03
   26      26.000s     9.355e-03     9.752e-03     3.977e-04
   27      27.000s     7.899e-03     9.436e-03     1.537e-03
   28      28.000s     1.057e-02     9.193e-03    -1.372e-03
   29      29.000s     1.133e-02     9.008e-03    -2.320e-03
   30      30.000s     8.649e-03     8.865e-03     2.166e-04

============================================================

