SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000015-d2o-2mM-6-20-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 285 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.363e+00     4.285e-02  
T     =       3.225s       31.589s  

RSS   =    8.614e-03
SD    =    1.694e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.041e+00     4.082e-02
    2       2.000s     8.287e-01     7.731e-01    -5.562e-02
    3       3.000s     6.101e-01     5.765e-01    -3.366e-02
    4       4.000s     4.246e-01     4.320e-01     7.363e-03
    5       5.000s     3.016e-01     3.257e-01     2.406e-02
    6       6.000s     2.250e-01     2.475e-01     2.247e-02
    7       7.000s     1.729e-01     1.898e-01     1.690e-02
    8       8.000s     1.367e-01     1.473e-01     1.064e-02
    9       9.000s     1.118e-01     1.159e-01     4.097e-03
   10      10.000s     9.233e-02     9.257e-02     2.385e-04
   11      11.000s     7.592e-02     7.524e-02    -6.785e-04
   12      12.000s     6.408e-02     6.230e-02    -1.775e-03
   13      13.000s     5.658e-02     5.259e-02    -3.990e-03
   14      14.000s     5.143e-02     4.526e-02    -6.176e-03
   15      15.000s     4.911e-02     3.967e-02    -9.439e-03
   16      16.000s     5.025e-02     3.537e-02    -1.488e-02
   17      17.000s     5.045e-02     3.202e-02    -1.843e-02
   18      18.000s     4.421e-02     2.937e-02    -1.484e-02
   19      19.000s     3.334e-02     2.725e-02    -6.097e-03
   20      20.000s     2.517e-02     2.551e-02     3.449e-04
   21      21.000s     2.229e-02     2.407e-02     1.777e-03
   22      22.000s     2.042e-02     2.284e-02     2.420e-03
   23      23.000s     1.664e-02     2.178e-02     5.134e-03
   24      24.000s     1.366e-02     2.084e-02     7.184e-03
   25      25.000s     1.413e-02     2.001e-02     5.873e-03
   26      26.000s     1.614e-02     1.924e-02     3.106e-03
   27      27.000s     1.660e-02     1.854e-02     1.938e-03
   28      28.000s     1.532e-02     1.789e-02     2.568e-03
   29      29.000s     1.324e-02     1.728e-02     4.043e-03
   30      30.000s     1.005e-02     1.670e-02     6.653e-03

============================================================

