SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000010-d2o-2mM-6-8-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 146 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.460e+00     2.820e-02  
T     =       2.553s      305.123s  

RSS   =    4.031e-03
SD    =    1.159e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.015e+00     1.522e-02
    2       2.000s     7.335e-01     6.952e-01    -3.825e-02
    3       3.000s     4.701e-01     4.789e-01     8.854e-03
    4       4.000s     3.125e-01     3.327e-01     2.021e-02
    5       5.000s     2.323e-01     2.338e-01     1.463e-03
    6       6.000s     1.691e-01     1.669e-01    -2.201e-03
    7       7.000s     1.150e-01     1.217e-01     6.657e-03
    8       8.000s     8.722e-02     9.111e-02     3.882e-03
    9       9.000s     7.640e-02     7.039e-02    -6.006e-03
   10      10.000s     6.151e-02     5.637e-02    -5.139e-03
   11      11.000s     4.470e-02     4.686e-02     2.158e-03
   12      12.000s     3.946e-02     4.040e-02     9.419e-04
   13      13.000s     4.210e-02     3.600e-02    -6.099e-03
   14      14.000s     4.067e-02     3.301e-02    -7.664e-03
   15      15.000s     3.784e-02     3.095e-02    -6.891e-03
   16      16.000s     4.241e-02     2.953e-02    -1.288e-02
   17      17.000s     4.866e-02     2.855e-02    -2.011e-02
   18      18.000s     4.473e-02     2.785e-02    -1.687e-02
   19      19.000s     3.360e-02     2.736e-02    -6.247e-03
   20      20.000s     2.754e-02     2.699e-02    -5.466e-04
   21      21.000s     2.762e-02     2.672e-02    -9.022e-04
   22      22.000s     2.539e-02     2.651e-02     1.118e-03
   23      23.000s     1.996e-02     2.633e-02     6.374e-03
   24      24.000s     1.800e-02     2.619e-02     8.188e-03
   25      25.000s     1.972e-02     2.607e-02     6.350e-03
   26      26.000s     1.889e-02     2.595e-02     7.067e-03
   27      27.000s     1.515e-02     2.585e-02     1.070e-02
   28      28.000s     1.391e-02     2.575e-02     1.185e-02
   29      29.000s     1.540e-02     2.566e-02     1.026e-02
   30      30.000s     1.472e-02     2.557e-02     1.085e-02

============================================================

