SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000340-d2o-2mM-6-15-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 381 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.412e+00     4.131e-02  
T     =       2.808s       23.845s  

RSS   =    5.354e-03
SD    =    1.336e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.028e+00     2.846e-02
    2       2.000s     7.769e-01     7.305e-01    -4.643e-02
    3       3.000s     5.369e-01     5.214e-01    -1.543e-02
    4       4.000s     3.622e-01     3.746e-01     1.242e-02
    5       5.000s     2.565e-01     2.714e-01     1.483e-02
    6       6.000s     1.880e-01     1.987e-01     1.074e-02
    7       7.000s     1.385e-01     1.475e-01     8.991e-03
    8       8.000s     1.049e-01     1.112e-01     6.359e-03
    9       9.000s     8.097e-02     8.555e-02     4.575e-03
   10      10.000s     6.035e-02     6.724e-02     6.883e-03
   11      11.000s     4.611e-02     5.411e-02     8.000e-03
   12      12.000s     4.269e-02     4.463e-02     1.938e-03
   13      13.000s     4.440e-02     3.771e-02    -6.689e-03
   14      14.000s     4.250e-02     3.261e-02    -9.892e-03
   15      15.000s     3.794e-02     2.877e-02    -9.168e-03
   16      16.000s     3.716e-02     2.585e-02    -1.131e-02
   17      17.000s     3.941e-02     2.356e-02    -1.584e-02
   18      18.000s     3.790e-02     2.174e-02    -1.616e-02
   19      19.000s     3.087e-02     2.024e-02    -1.063e-02
   20      20.000s     2.309e-02     1.899e-02    -4.098e-03
   21      21.000s     1.777e-02     1.792e-02     1.455e-04
   22      22.000s     1.435e-02     1.698e-02     2.624e-03
   23      23.000s     1.299e-02     1.614e-02     3.144e-03
   24      24.000s     1.434e-02     1.537e-02     1.029e-03
   25      25.000s     1.530e-02     1.467e-02    -6.331e-04
   26      26.000s     1.157e-02     1.402e-02     2.446e-03
   27      27.000s     4.696e-03     1.341e-02     8.711e-03
   28      28.000s     8.269e-04     1.283e-02     1.201e-02
   29      29.000s     2.025e-03     1.229e-02     1.026e-02
   30      30.000s     4.236e-03     1.177e-02     7.535e-03

============================================================

