SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000184-d2o-2mM-6-20-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.408e+00     1.368e-03  
T     =       3.348s    1238651614409.896s  

RSS   =    1.585e-02
SD    =    2.299e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.046e+00     4.568e-02
    2       2.000s     8.016e-01     7.761e-01    -2.553e-02
    3       3.000s     6.308e-01     5.760e-01    -5.479e-02
    4       4.000s     4.729e-01     4.277e-01    -4.522e-02
    5       5.000s     3.213e-01     3.176e-01    -3.721e-03
    6       6.000s     2.025e-01     2.360e-01     3.350e-02
    7       7.000s     1.332e-01     1.754e-01     4.221e-02
    8       8.000s     9.630e-02     1.305e-01     3.416e-02
    9       9.000s     6.878e-02     9.713e-02     2.835e-02
   10      10.000s     4.778e-02     7.241e-02     2.462e-02
   11      11.000s     3.790e-02     5.407e-02     1.617e-02
   12      12.000s     3.409e-02     4.046e-02     6.371e-03
   13      13.000s     3.036e-02     3.037e-02     7.234e-06
   14      14.000s     3.016e-02     2.288e-02    -7.284e-03
   15      15.000s     3.595e-02     1.733e-02    -1.863e-02
   16      16.000s     3.940e-02     1.321e-02    -2.620e-02
   17      17.000s     3.281e-02     1.015e-02    -2.266e-02
   18      18.000s     2.161e-02     7.882e-03    -1.373e-02
   19      19.000s     1.570e-02     6.201e-03    -9.502e-03
   20      20.000s     1.503e-02     4.953e-03    -1.008e-02
   21      21.000s     1.272e-02     4.027e-03    -8.692e-03
   22      22.000s     7.513e-03     3.341e-03    -4.172e-03
   23      23.000s     4.213e-03     2.831e-03    -1.381e-03
   24      24.000s     4.522e-03     2.454e-03    -2.069e-03
   25      25.000s     4.898e-03     2.173e-03    -2.725e-03
   26      26.000s     2.578e-03     1.965e-03    -6.122e-04
   27      27.000s    -1.432e-03     1.811e-03     3.243e-03
   28      28.000s    -4.912e-03     1.697e-03     6.608e-03
   29      29.000s    -6.589e-03     1.612e-03     8.201e-03
   30      30.000s    -6.321e-03     1.549e-03     7.870e-03

============================================================

