SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000184-d2o-2mM-6-20-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 413 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.179e+00     2.255e-01  
T     =       2.643s       11.734s  

RSS   =    2.221e-03
SD    =    8.605e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.015e+00     1.476e-02
    2       2.000s     7.721e-01     7.434e-01    -2.873e-02
    3       3.000s     5.544e-01     5.536e-01    -8.369e-04
    4       4.000s     4.104e-01     4.199e-01     9.486e-03
    5       5.000s     3.223e-01     3.250e-01     2.710e-03
    6       6.000s     2.543e-01     2.570e-01     2.707e-03
    7       7.000s     1.999e-01     2.076e-01     7.668e-03
    8       8.000s     1.649e-01     1.712e-01     6.306e-03
    9       9.000s     1.416e-01     1.439e-01     2.238e-03
   10      10.000s     1.202e-01     1.230e-01     2.743e-03
   11      11.000s     1.033e-01     1.067e-01     3.377e-03
   12      12.000s     9.507e-02     9.368e-02    -1.391e-03
   13      13.000s     8.947e-02     8.309e-02    -6.371e-03
   14      14.000s     8.051e-02     7.430e-02    -6.211e-03
   15      15.000s     7.286e-02     6.685e-02    -6.012e-03
   16      16.000s     7.139e-02     6.045e-02    -1.095e-02
   17      17.000s     7.024e-02     5.486e-02    -1.538e-02
   18      18.000s     6.215e-02     4.994e-02    -1.221e-02
   19      19.000s     5.017e-02     4.556e-02    -4.617e-03
   20      20.000s     4.120e-02     4.163e-02     4.232e-04
   21      21.000s     3.506e-02     3.808e-02     3.027e-03
   22      22.000s     2.854e-02     3.488e-02     6.335e-03
   23      23.000s     2.357e-02     3.196e-02     8.393e-03
   24      24.000s     2.280e-02     2.930e-02     6.500e-03
   25      25.000s     2.284e-02     2.688e-02     4.043e-03
   26      26.000s     1.956e-02     2.466e-02     5.096e-03
   27      27.000s     1.563e-02     2.263e-02     7.001e-03
   28      28.000s     1.522e-02     2.077e-02     5.551e-03
   29      29.000s     1.609e-02     1.907e-02     2.980e-03
   30      30.000s     1.385e-02     1.751e-02     3.653e-03

============================================================

