SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000089-d2o-2mM-6-8-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.190e+00     3.440e-01  
T     =       1.848s    1885613001987489.500s  

RSS   =    1.280e-01
SD    =    6.531e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.037e+00     3.696e-02
    2       2.000s     8.328e-01     7.474e-01    -8.537e-02
    3       3.000s     6.010e-01     5.788e-01    -2.211e-02
    4       4.000s     4.027e-01     4.807e-01     7.807e-02
    5       5.000s     3.613e-01     4.236e-01     6.232e-02
    6       6.000s     4.242e-01     3.904e-01    -3.387e-02
    7       7.000s     4.151e-01     3.710e-01    -4.411e-02
    8       8.000s     3.093e-01     3.597e-01     5.044e-02
    9       9.000s     2.713e-01     3.532e-01     8.183e-02
   10      10.000s     3.698e-01     3.494e-01    -2.046e-02
   11      11.000s     4.513e-01     3.471e-01    -1.042e-01
   12      12.000s     3.904e-01     3.458e-01    -4.452e-02
   13      13.000s     2.843e-01     3.451e-01     6.081e-02
   14      14.000s     2.730e-01     3.446e-01     7.168e-02
   15      15.000s     3.202e-01     3.444e-01     2.418e-02
   16      16.000s     3.220e-01     3.442e-01     2.224e-02
   17      17.000s     3.062e-01     3.442e-01     3.797e-02
   18      18.000s     3.561e-01     3.441e-01    -1.199e-02
   19      19.000s     4.237e-01     3.441e-01    -7.962e-02
   20      20.000s     3.937e-01     3.441e-01    -4.964e-02
   21      21.000s     2.896e-01     3.440e-01     5.441e-02
   22      22.000s     2.556e-01     3.440e-01     8.841e-02
   23      23.000s     3.429e-01     3.440e-01     1.163e-03
   24      24.000s     4.486e-01     3.440e-01    -1.046e-01
   25      25.000s     4.738e-01     3.440e-01    -1.298e-01
   26      26.000s     4.311e-01     3.440e-01    -8.704e-02
   27      27.000s     3.781e-01     3.440e-01    -3.405e-02
   28      28.000s     3.326e-01     3.440e-01     1.142e-02
   29      29.000s     2.835e-01     3.440e-01     6.049e-02
   30      30.000s     2.351e-01     3.440e-01     1.089e-01

============================================================

