SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000089-d2o-2mM-6-8-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 283 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.041e+00     3.555e-01  
T     =       2.297s      884.497s  

RSS   =    9.184e-02
SD    =    5.533e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.029e+00     2.902e-02
    2       2.000s     8.354e-01     7.908e-01    -4.463e-02
    3       3.000s     6.869e-01     6.365e-01    -5.041e-02
    4       4.000s     5.190e-01     5.365e-01     1.754e-02
    5       5.000s     3.799e-01     4.717e-01     9.180e-02
    6       6.000s     3.695e-01     4.296e-01     6.002e-02
    7       7.000s     4.515e-01     4.022e-01    -4.930e-02
    8       8.000s     4.661e-01     3.843e-01    -8.183e-02
    9       9.000s     3.726e-01     3.726e-01     4.743e-05
   10      10.000s     3.107e-01     3.649e-01     5.420e-02
   11      11.000s     3.629e-01     3.598e-01    -3.131e-03
   12      12.000s     4.179e-01     3.563e-01    -6.156e-02
   13      13.000s     3.640e-01     3.539e-01    -1.005e-02
   14      14.000s     2.736e-01     3.523e-01     7.868e-02
   15      15.000s     2.774e-01     3.510e-01     7.360e-02
   16      16.000s     3.630e-01     3.501e-01    -1.293e-02
   17      17.000s     4.180e-01     3.494e-01    -6.859e-02
   18      18.000s     3.989e-01     3.488e-01    -5.014e-02
   19      19.000s     3.498e-01     3.482e-01    -1.592e-03
   20      20.000s     3.082e-01     3.477e-01     3.955e-02
   21      21.000s     2.881e-01     3.473e-01     5.916e-02
   22      22.000s     3.130e-01     3.468e-01     3.389e-02
   23      23.000s     3.826e-01     3.464e-01    -3.621e-02
   24      24.000s     4.411e-01     3.460e-01    -9.506e-02
   25      25.000s     4.368e-01     3.456e-01    -9.117e-02
   26      26.000s     3.823e-01     3.452e-01    -3.704e-02
   27      27.000s     3.168e-01     3.448e-01     2.807e-02
   28      28.000s     2.661e-01     3.444e-01     7.835e-02
   29      29.000s     2.704e-01     3.440e-01     7.365e-02
   30      30.000s     3.676e-01     3.436e-01    -2.393e-02

============================================================

