SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000202-d2o-2mM-6-13-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 396 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.371e+00     7.073e-02  
T     =       2.698s       14.488s  

RSS   =    2.012e-03
SD    =    8.189e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.012e+00     1.230e-02
    2       2.000s     7.362e-01     7.148e-01    -2.137e-02
    3       3.000s     5.107e-01     5.083e-01    -2.359e-03
    4       4.000s     3.615e-01     3.649e-01     3.328e-03
    5       5.000s     2.629e-01     2.649e-01     1.953e-03
    6       6.000s     1.907e-01     1.950e-01     4.350e-03
    7       7.000s     1.404e-01     1.460e-01     5.581e-03
    8       8.000s     1.077e-01     1.114e-01     3.667e-03
    9       9.000s     8.250e-02     8.676e-02     4.259e-03
   10      10.000s     6.154e-02     6.912e-02     7.582e-03
   11      11.000s     4.866e-02     5.633e-02     7.670e-03
   12      12.000s     4.347e-02     4.693e-02     3.458e-03
   13      13.000s     4.093e-02     3.990e-02    -1.024e-03
   14      14.000s     3.999e-02     3.455e-02    -5.443e-03
   15      15.000s     4.247e-02     3.039e-02    -1.208e-02
   16      16.000s     4.500e-02     2.708e-02    -1.792e-02
   17      17.000s     4.148e-02     2.439e-02    -1.709e-02
   18      18.000s     3.252e-02     2.215e-02    -1.036e-02
   19      19.000s     2.450e-02     2.025e-02    -4.242e-03
   20      20.000s     2.001e-02     1.861e-02    -1.397e-03
   21      21.000s     1.623e-02     1.717e-02     9.420e-04
   22      22.000s     1.203e-02     1.589e-02     3.853e-03
   23      23.000s     9.712e-03     1.473e-02     5.019e-03
   24      24.000s     9.441e-03     1.368e-02     4.241e-03
   25      25.000s     8.355e-03     1.272e-02     4.369e-03
   26      26.000s     5.780e-03     1.184e-02     6.065e-03
   27      27.000s     4.191e-03     1.103e-02     6.841e-03
   28      28.000s     4.381e-03     1.028e-02     5.901e-03
   29      29.000s     4.316e-03     9.586e-03     5.270e-03
   30      30.000s     3.322e-03     8.939e-03     5.617e-03

============================================================

