SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000098-d2o-2mM-6-20-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 155 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.047e+00     2.768e-01  
T     =       4.194s        4.194s  

RSS   =    1.498e-02
SD    =    2.235e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.043e+00     4.315e-02
    2       2.000s     8.372e-01     8.218e-01    -1.539e-02
    3       3.000s     6.673e-01     6.475e-01    -1.985e-02
    4       4.000s     5.453e-01     5.101e-01    -3.517e-02
    5       5.000s     4.499e-01     4.019e-01    -4.796e-02
    6       6.000s     3.453e-01     3.166e-01    -2.867e-02
    7       7.000s     2.386e-01     2.495e-01     1.086e-02
    8       8.000s     1.599e-01     1.965e-01     3.667e-02
    9       9.000s     1.149e-01     1.548e-01     3.997e-02
   10      10.000s     8.459e-02     1.220e-01     3.740e-02
   11      11.000s     5.879e-02     9.611e-02     3.732e-02
   12      12.000s     4.397e-02     7.572e-02     3.175e-02
   13      13.000s     4.170e-02     5.966e-02     1.795e-02
   14      14.000s     4.163e-02     4.700e-02     5.366e-03
   15      15.000s     3.792e-02     3.703e-02    -8.916e-04
   16      16.000s     3.554e-02     2.917e-02    -6.367e-03
   17      17.000s     3.649e-02     2.298e-02    -1.351e-02
   18      18.000s     3.372e-02     1.811e-02    -1.561e-02
   19      19.000s     2.384e-02     1.427e-02    -9.572e-03
   20      20.000s     1.447e-02     1.124e-02    -3.234e-03
   21      21.000s     1.283e-02     8.855e-03    -3.971e-03
   22      22.000s     1.534e-02     6.976e-03    -8.361e-03
   23      23.000s     1.468e-02     5.496e-03    -9.180e-03
   24      24.000s     1.038e-02     4.330e-03    -6.052e-03
   25      25.000s     6.805e-03     3.412e-03    -3.393e-03
   26      26.000s     5.508e-03     2.688e-03    -2.820e-03
   27      27.000s     5.160e-03     2.118e-03    -3.042e-03
   28      28.000s     5.584e-03     1.668e-03    -3.915e-03
   29      29.000s     7.239e-03     1.314e-03    -5.924e-03
   30      30.000s     8.920e-03     1.036e-03    -7.884e-03

============================================================

