SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000098-d2o-2mM-6-20-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 377 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.301e+00     9.712e-02  
T     =       3.032s       15.858s  

RSS   =    4.756e-03
SD    =    1.259e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.027e+00     2.687e-02
    2       2.000s     7.972e-01     7.584e-01    -3.882e-02
    3       3.000s     5.851e-01     5.642e-01    -2.093e-02
    4       4.000s     4.190e-01     4.233e-01     4.318e-03
    5       5.000s     3.033e-01     3.210e-01     1.764e-02
    6       6.000s     2.262e-01     2.464e-01     2.023e-02
    7       7.000s     1.783e-01     1.918e-01     1.349e-02
    8       8.000s     1.482e-01     1.516e-01     3.423e-03
    9       9.000s     1.232e-01     1.219e-01    -1.288e-03
   10      10.000s     9.980e-02     9.977e-02    -2.334e-05
   11      11.000s     8.233e-02     8.311e-02     7.747e-04
   12      12.000s     7.175e-02     7.043e-02    -1.318e-03
   13      13.000s     6.398e-02     6.066e-02    -3.322e-03
   14      14.000s     5.784e-02     5.302e-02    -4.818e-03
   15      15.000s     5.556e-02     4.696e-02    -8.606e-03
   16      16.000s     5.589e-02     4.205e-02    -1.384e-02
   17      17.000s     5.385e-02     3.802e-02    -1.583e-02
   18      18.000s     4.749e-02     3.465e-02    -1.284e-02
   19      19.000s     3.936e-02     3.178e-02    -7.583e-03
   20      20.000s     3.162e-02     2.929e-02    -2.331e-03
   21      21.000s     2.473e-02     2.711e-02     2.376e-03
   22      22.000s     1.986e-02     2.517e-02     5.316e-03
   23      23.000s     1.764e-02     2.343e-02     5.791e-03
   24      24.000s     1.562e-02     2.186e-02     6.237e-03
   25      25.000s     1.159e-02     2.042e-02     8.828e-03
   26      26.000s     8.360e-03     1.909e-02     1.073e-02
   27      27.000s     1.003e-02     1.787e-02     7.839e-03
   28      28.000s     1.460e-02     1.674e-02     2.146e-03
   29      29.000s     1.576e-02     1.569e-02    -7.227e-05
   30      30.000s     1.189e-02     1.471e-02     2.826e-03

============================================================

