SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000029-d2o-2mM-6-6-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.242e+00     1.219e-01  
T     =       3.480s    3013243468391915.500s  

RSS   =    7.167e-02
SD    =    4.888e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.054e+00     5.364e-02
    2       2.000s     8.513e-01     8.210e-01    -3.034e-02
    3       3.000s     6.891e-01     6.464e-01    -4.274e-02
    4       4.000s     5.466e-01     5.154e-01    -3.124e-02
    5       5.000s     4.350e-01     4.171e-01    -1.782e-02
    6       6.000s     3.506e-01     3.434e-01    -7.217e-03
    7       7.000s     2.855e-01     2.881e-01     2.562e-03
    8       8.000s     2.335e-01     2.466e-01     1.310e-02
    9       9.000s     1.927e-01     2.155e-01     2.277e-02
   10      10.000s     1.635e-01     1.921e-01     2.857e-02
   11      11.000s     1.446e-01     1.746e-01     2.999e-02
   12      12.000s     1.313e-01     1.614e-01     3.008e-02
   13      13.000s     1.197e-01     1.516e-01     3.187e-02
   14      14.000s     1.091e-01     1.442e-01     3.510e-02
   15      15.000s     1.013e-01     1.386e-01     3.733e-02
   16      16.000s     9.678e-02     1.344e-01     3.765e-02
   17      17.000s     9.367e-02     1.313e-01     3.764e-02
   18      18.000s     9.039e-02     1.290e-01     3.858e-02
   19      19.000s     8.806e-02     1.272e-01     3.914e-02
   20      20.000s     8.882e-02     1.259e-01     3.707e-02
   21      21.000s     9.284e-02     1.249e-01     3.205e-02
   22      22.000s     9.868e-02     1.242e-01     2.547e-02
   23      23.000s     1.059e-01     1.236e-01     1.768e-02
   24      24.000s     1.158e-01     1.232e-01     7.423e-03
   25      25.000s     1.291e-01     1.229e-01    -6.190e-03
   26      26.000s     1.458e-01     1.226e-01    -2.318e-02
   27      27.000s     1.674e-01     1.224e-01    -4.490e-02
   28      28.000s     1.969e-01     1.223e-01    -7.462e-02
   29      29.000s     2.369e-01     1.222e-01    -1.147e-01
   30      30.000s     2.869e-01     1.221e-01    -1.648e-01

============================================================

