SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000034-d2o-2mM-7-5-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 146 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.485e+00     8.534e-03  
T     =       2.725s      124.645s  

RSS   =    8.794e-03
SD    =    1.712e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.038e+00     3.756e-02
    2       2.000s     7.782e-01     7.214e-01    -5.681e-02
    3       3.000s     5.279e-01     5.023e-01    -2.552e-02
    4       4.000s     3.413e-01     3.505e-01     9.273e-03
    5       5.000s     2.277e-01     2.454e-01     1.762e-02
    6       6.000s     1.540e-01     1.724e-01     1.848e-02
    7       7.000s     1.014e-01     1.219e-01     2.047e-02
    8       8.000s     6.987e-02     8.688e-02     1.701e-02
    9       9.000s     5.339e-02     6.259e-02     9.198e-03
   10      10.000s     4.036e-02     4.574e-02     5.387e-03
   11      11.000s     2.874e-02     3.405e-02     5.310e-03
   12      12.000s     2.414e-02     2.593e-02     1.785e-03
   13      13.000s     2.620e-02     2.028e-02    -5.921e-03
   14      14.000s     2.889e-02     1.635e-02    -1.254e-02
   15      15.000s     3.038e-02     1.361e-02    -1.677e-02
   16      16.000s     3.225e-02     1.169e-02    -2.056e-02
   17      17.000s     3.194e-02     1.035e-02    -2.159e-02
   18      18.000s     2.547e-02     9.397e-03    -1.608e-02
   19      19.000s     1.556e-02     8.721e-03    -6.839e-03
   20      20.000s     8.962e-03     8.234e-03    -7.283e-04
   21      21.000s     7.214e-03     7.880e-03     6.654e-04
   22      22.000s     6.587e-03     7.617e-03     1.030e-03
   23      23.000s     5.398e-03     7.417e-03     2.019e-03
   24      24.000s     4.887e-03     7.262e-03     2.375e-03
   25      25.000s     4.517e-03     7.137e-03     2.620e-03
   26      26.000s     2.626e-03     7.034e-03     4.408e-03
   27      27.000s     4.838e-04     6.946e-03     6.462e-03
   28      28.000s     2.116e-04     6.868e-03     6.657e-03
   29      29.000s     1.800e-04     6.798e-03     6.618e-03
   30      30.000s    -2.079e-03     6.733e-03     8.812e-03

============================================================

