SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000034-d2o-2mM-7-5-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 293 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.354e+00     4.257e-02  
T     =       3.126s       29.713s  

RSS   =    4.335e-03
SD    =    1.202e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.024e+00     2.444e-02
    2       2.000s     7.837e-01     7.539e-01    -2.979e-02
    3       3.000s     5.738e-01     5.571e-01    -1.669e-02
    4       4.000s     4.196e-01     4.138e-01    -5.774e-03
    5       5.000s     3.078e-01     3.095e-01     1.692e-03
    6       6.000s     2.204e-01     2.334e-01     1.301e-02
    7       7.000s     1.590e-01     1.779e-01     1.891e-02
    8       8.000s     1.231e-01     1.373e-01     1.415e-02
    9       9.000s     9.945e-02     1.075e-01     8.076e-03
   10      10.000s     7.802e-02     8.566e-02     7.637e-03
   11      11.000s     6.182e-02     6.952e-02     7.706e-03
   12      12.000s     5.434e-02     5.757e-02     3.223e-03
   13      13.000s     5.115e-02     4.865e-02    -2.505e-03
   14      14.000s     4.816e-02     4.194e-02    -6.220e-03
   15      15.000s     4.742e-02     3.686e-02    -1.057e-02
   16      16.000s     4.975e-02     3.295e-02    -1.680e-02
   17      17.000s     5.014e-02     2.991e-02    -2.023e-02
   18      18.000s     4.492e-02     2.750e-02    -1.742e-02
   19      19.000s     3.700e-02     2.556e-02    -1.144e-02
   20      20.000s     3.027e-02     2.397e-02    -6.301e-03
   21      21.000s     2.444e-02     2.263e-02    -1.810e-03
   22      22.000s     1.873e-02     2.149e-02     2.765e-03
   23      23.000s     1.514e-02     2.049e-02     5.350e-03
   24      24.000s     1.467e-02     1.961e-02     4.936e-03
   25      25.000s     1.441e-02     1.881e-02     4.396e-03
   26      26.000s     1.202e-02     1.807e-02     6.052e-03
   27      27.000s     9.491e-03     1.740e-02     7.907e-03
   28      28.000s     9.447e-03     1.676e-02     7.317e-03
   29      29.000s     1.072e-02     1.617e-02     5.449e-03
   30      30.000s     1.041e-02     1.560e-02     5.190e-03

============================================================

