SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000035-d2o-2mM-7-24-11-pH-9.13/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 410 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.394e+00     1.086e-01  
T     =       2.329s        9.420s  

RSS   =    3.553e-03
SD    =    1.088e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.005e+00     5.038e-03
    2       2.000s     6.909e-01     6.784e-01    -1.246e-02
    3       3.000s     4.543e-01     4.634e-01     9.080e-03
    4       4.000s     3.225e-01     3.212e-01    -1.291e-03
    5       5.000s     2.366e-01     2.267e-01    -9.875e-03
    6       6.000s     1.620e-01     1.634e-01     1.407e-03
    7       7.000s     1.117e-01     1.206e-01     8.965e-03
    8       8.000s     8.859e-02     9.134e-02     2.745e-03
    9       9.000s     6.951e-02     7.098e-02     1.471e-03
   10      10.000s     4.479e-02     5.657e-02     1.179e-02
   11      11.000s     3.050e-02     4.615e-02     1.565e-02
   12      12.000s     3.388e-02     3.843e-02     4.549e-03
   13      13.000s     3.952e-02     3.255e-02    -6.968e-03
   14      14.000s     3.762e-02     2.797e-02    -9.650e-03
   15      15.000s     3.764e-02     2.431e-02    -1.333e-02
   16      16.000s     4.452e-02     2.131e-02    -2.321e-02
   17      17.000s     4.553e-02     1.880e-02    -2.673e-02
   18      18.000s     3.229e-02     1.667e-02    -1.562e-02
   19      19.000s     1.608e-02     1.484e-02    -1.241e-03
   20      20.000s     9.025e-03     1.325e-02     4.224e-03
   21      21.000s     6.545e-03     1.185e-02     5.305e-03
   22      22.000s     4.833e-04     1.061e-02     1.013e-02
   23      23.000s    -4.956e-03     9.518e-03     1.447e-02
   24      24.000s    -3.351e-03     8.542e-03     1.189e-02
   25      25.000s    -8.569e-05     7.670e-03     7.756e-03
   26      26.000s    -2.682e-03     6.890e-03     9.572e-03
   27      27.000s    -6.313e-03     6.191e-03     1.250e-02
   28      28.000s    -2.345e-03     5.564e-03     7.910e-03
   29      29.000s     5.540e-03     5.002e-03    -5.379e-04
   30      30.000s     6.823e-03     4.497e-03    -2.327e-03

============================================================

