SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000035-d2o-2mM-7-24-11-pH-9.13/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 300 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.470e+00     7.030e-03  
T     =       2.806s      347.811s  

RSS   =    7.665e-03
SD    =    1.598e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.036e+00     3.614e-02
    2       2.000s     7.880e-01     7.276e-01    -6.039e-02
    3       3.000s     5.292e-01     5.116e-01    -1.766e-02
    4       4.000s     3.429e-01     3.603e-01     1.736e-02
    5       5.000s     2.377e-01     2.544e-01     1.665e-02
    6       6.000s     1.670e-01     1.802e-01     1.320e-02
    7       7.000s     1.116e-01     1.282e-01     1.656e-02
    8       8.000s     8.020e-02     9.182e-02     1.162e-02
    9       9.000s     6.692e-02     6.633e-02    -5.872e-04
   10      10.000s     5.247e-02     4.848e-02    -3.984e-03
   11      11.000s     3.366e-02     3.598e-02     2.323e-03
   12      12.000s     2.280e-02     2.722e-02     4.411e-03
   13      13.000s     2.225e-02     2.107e-02    -1.173e-03
   14      14.000s     2.177e-02     1.677e-02    -5.000e-03
   15      15.000s     1.831e-02     1.375e-02    -4.566e-03
   16      16.000s     1.892e-02     1.162e-02    -7.293e-03
   17      17.000s     2.452e-02     1.013e-02    -1.439e-02
   18      18.000s     2.691e-02     9.083e-03    -1.783e-02
   19      19.000s     2.257e-02     8.342e-03    -1.423e-02
   20      20.000s     1.654e-02     7.818e-03    -8.724e-03
   21      21.000s     1.153e-02     7.445e-03    -4.081e-03
   22      22.000s     4.993e-03     7.178e-03     2.185e-03
   23      23.000s    -1.865e-03     6.985e-03     8.851e-03
   24      24.000s    -3.357e-03     6.845e-03     1.020e-02
   25      25.000s     5.809e-04     6.741e-03     6.160e-03
   26      26.000s     3.252e-03     6.663e-03     3.410e-03
   27      27.000s     2.245e-03     6.602e-03     4.358e-03
   28      28.000s     2.387e-03     6.554e-03     4.167e-03
   29      29.000s     5.316e-03     6.515e-03     1.199e-03
   30      30.000s     5.346e-03     6.482e-03     1.137e-03

============================================================

