SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000037-d2o-2mM-6-15-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 146 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.383e+00     8.487e-03  
T     =       3.479s      249.973s  

RSS   =    1.094e-02
SD    =    1.909e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.046e+00     4.565e-02
    2       2.000s     8.311e-01     7.865e-01    -4.457e-02
    3       3.000s     6.376e-01     5.921e-01    -4.553e-02
    4       4.000s     4.617e-01     4.462e-01    -1.551e-02
    5       5.000s     3.241e-01     3.368e-01     1.272e-02
    6       6.000s     2.277e-01     2.547e-01     2.704e-02
    7       7.000s     1.655e-01     1.931e-01     2.764e-02
    8       8.000s     1.253e-01     1.469e-01     2.163e-02
    9       9.000s     9.582e-02     1.122e-01     1.641e-02
   10      10.000s     7.299e-02     8.620e-02     1.322e-02
   11      11.000s     5.818e-02     6.667e-02     8.488e-03
   12      12.000s     5.117e-02     5.201e-02     8.453e-04
   13      13.000s     4.804e-02     4.101e-02    -7.033e-03
   14      14.000s     4.575e-02     3.274e-02    -1.301e-02
   15      15.000s     4.394e-02     2.654e-02    -1.741e-02
   16      16.000s     4.168e-02     2.187e-02    -1.981e-02
   17      17.000s     3.668e-02     1.836e-02    -1.832e-02
   18      18.000s     2.922e-02     1.573e-02    -1.349e-02
   19      19.000s     2.286e-02     1.374e-02    -9.117e-03
   20      20.000s     1.955e-02     1.224e-02    -7.305e-03
   21      21.000s     1.704e-02     1.111e-02    -5.931e-03
   22      22.000s     1.287e-02     1.025e-02    -2.622e-03
   23      23.000s     7.995e-03     9.601e-03     1.606e-03
   24      24.000s     4.585e-03     9.106e-03     4.520e-03
   25      25.000s     2.895e-03     8.726e-03     5.831e-03
   26      26.000s     2.150e-03     8.434e-03     6.284e-03
   27      27.000s     2.227e-03     8.207e-03     5.980e-03
   28      28.000s     2.483e-03     8.030e-03     5.547e-03
   29      29.000s     1.151e-03     7.889e-03     6.739e-03
   30      30.000s    -1.988e-03     7.776e-03     9.764e-03

============================================================

