SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000037-d2o-2mM-6-15-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 267 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.376e+00     1.912e-02  
T     =       3.412s       52.020s  

RSS   =    1.099e-02
SD    =    1.914e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.046e+00     4.553e-02
    2       2.000s     8.306e-01     7.843e-01    -4.628e-02
    3       3.000s     6.373e-01     5.894e-01    -4.788e-02
    4       4.000s     4.565e-01     4.439e-01    -1.258e-02
    5       5.000s     3.157e-01     3.353e-01     1.966e-02
    6       6.000s     2.239e-01     2.542e-01     3.030e-02
    7       7.000s     1.688e-01     1.936e-01     2.482e-02
    8       8.000s     1.302e-01     1.484e-01     1.818e-02
    9       9.000s     9.866e-02     1.145e-01     1.587e-02
   10      10.000s     7.677e-02     8.922e-02     1.245e-02
   11      11.000s     6.578e-02     7.026e-02     4.486e-03
   12      12.000s     6.005e-02     5.605e-02    -4.004e-03
   13      13.000s     5.472e-02     4.538e-02    -9.339e-03
   14      14.000s     5.050e-02     3.735e-02    -1.315e-02
   15      15.000s     4.818e-02     3.130e-02    -1.688e-02
   16      16.000s     4.467e-02     2.671e-02    -1.796e-02
   17      17.000s     3.806e-02     2.323e-02    -1.483e-02
   18      18.000s     3.141e-02     2.057e-02    -1.084e-02
   19      19.000s     2.759e-02     1.852e-02    -9.062e-03
   20      20.000s     2.439e-02     1.694e-02    -7.455e-03
   21      21.000s     1.885e-02     1.569e-02    -3.156e-03
   22      22.000s     1.291e-02     1.471e-02     1.792e-03
   23      23.000s     1.060e-02     1.391e-02     3.319e-03
   24      24.000s     1.149e-02     1.327e-02     1.773e-03
   25      25.000s     1.148e-02     1.273e-02     1.250e-03
   26      26.000s     8.703e-03     1.227e-02     3.572e-03
   27      27.000s     5.265e-03     1.188e-02     6.617e-03
   28      28.000s     3.358e-03     1.154e-02     8.180e-03
   29      29.000s     2.850e-03     1.123e-02     8.380e-03
   30      30.000s     2.709e-03     1.095e-02     8.241e-03

============================================================

