SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/_bmse000041-d2o-2mM-6-8-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.250e+00     7.699e-02  
T     =       3.472s    5780230871452219.000s  

RSS   =    1.528e-02
SD    =    2.257e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.014e+00     1.390e-02
    2       2.000s     7.989e-01     7.794e-01    -1.943e-02
    3       3.000s     6.123e-01     6.037e-01    -8.611e-03
    4       4.000s     4.668e-01     4.719e-01     5.063e-03
    5       5.000s     3.641e-01     3.731e-01     8.991e-03
    6       6.000s     2.930e-01     2.990e-01     5.991e-03
    7       7.000s     2.421e-01     2.434e-01     1.285e-03
    8       8.000s     2.045e-01     2.018e-01    -2.706e-03
    9       9.000s     1.759e-01     1.705e-01    -5.401e-03
   10      10.000s     1.538e-01     1.471e-01    -6.645e-03
   11      11.000s     1.365e-01     1.296e-01    -6.909e-03
   12      12.000s     1.231e-01     1.164e-01    -6.717e-03
   13      13.000s     1.115e-01     1.066e-01    -4.919e-03
   14      14.000s     9.853e-02     9.916e-02     6.291e-04
   15      15.000s     8.417e-02     9.361e-02     9.436e-03
   16      16.000s     7.214e-02     8.945e-02     1.731e-02
   17      17.000s     6.558e-02     8.633e-02     2.075e-02
   18      18.000s     6.305e-02     8.399e-02     2.094e-02
   19      19.000s     6.102e-02     8.224e-02     2.122e-02
   20      20.000s     5.876e-02     8.093e-02     2.216e-02
   21      21.000s     5.807e-02     7.994e-02     2.187e-02
   22      22.000s     5.926e-02     7.920e-02     1.994e-02
   23      23.000s     6.087e-02     7.865e-02     1.778e-02
   24      24.000s     6.301e-02     7.823e-02     1.522e-02
   25      25.000s     6.783e-02     7.792e-02     1.009e-02
   26      26.000s     7.637e-02     7.769e-02     1.323e-03
   27      27.000s     8.807e-02     7.751e-02    -1.056e-02
   28      28.000s     1.041e-01     7.738e-02    -2.667e-02
   29      29.000s     1.278e-01     7.728e-02    -5.052e-02
   30      30.000s     1.620e-01     7.721e-02    -8.481e-02

============================================================

