SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000042-d2o-2mM-6-8-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    9.544e-01     3.877e-01  
T     =       2.794s    9645726942501334.000s  

RSS   =    2.020e-01
SD    =    8.205e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.055e+00     5.499e-02
    2       2.000s     8.866e-01     8.542e-01    -3.235e-02
    3       3.000s     7.660e-01     7.139e-01    -5.209e-02
    4       4.000s     6.582e-01     6.158e-01    -4.240e-02
    5       5.000s     5.723e-01     5.472e-01    -2.514e-02
    6       6.000s     5.077e-01     4.992e-01    -8.562e-03
    7       7.000s     4.587e-01     4.657e-01     6.926e-03
    8       8.000s     4.188e-01     4.422e-01     2.342e-02
    9       9.000s     3.840e-01     4.258e-01     4.178e-02
   10      10.000s     3.540e-01     4.144e-01     6.031e-02
   11      11.000s     3.301e-01     4.063e-01     7.626e-02
   12      12.000s     3.129e-01     4.007e-01     8.788e-02
   13      13.000s     3.026e-01     3.968e-01     9.426e-02
   14      14.000s     2.995e-01     3.941e-01     9.460e-02
   15      15.000s     3.030e-01     3.922e-01     8.918e-02
   16      16.000s     3.102e-01     3.908e-01     8.067e-02
   17      17.000s     3.175e-01     3.899e-01     7.240e-02
   18      18.000s     3.241e-01     3.892e-01     6.518e-02
   19      19.000s     3.316e-01     3.888e-01     5.716e-02
   20      20.000s     3.417e-01     3.885e-01     4.678e-02
   21      21.000s     3.542e-01     3.882e-01     3.408e-02
   22      22.000s     3.692e-01     3.881e-01     1.884e-02
   23      23.000s     3.886e-01     3.880e-01    -6.689e-04
   24      24.000s     4.142e-01     3.879e-01    -2.626e-02
   25      25.000s     4.462e-01     3.878e-01    -5.839e-02
   26      26.000s     4.841e-01     3.878e-01    -9.632e-02
   27      27.000s     5.249e-01     3.878e-01    -1.371e-01
   28      28.000s     5.598e-01     3.878e-01    -1.721e-01
   29      29.000s     5.742e-01     3.877e-01    -1.865e-01
   30      30.000s     5.546e-01     3.877e-01    -1.669e-01

============================================================

