SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000043-d2o-2mM-6-8-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 273 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.426e+00    -5.757e-02  
T     =       3.736s      155.868s  

RSS   =    1.137e-02
SD    =    1.947e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.034e+00     3.401e-02
    2       2.000s     8.214e-01     7.781e-01    -4.327e-02
    3       3.000s     6.214e-01     5.824e-01    -3.896e-02
    4       4.000s     4.264e-01     4.327e-01     6.321e-03
    5       5.000s     2.817e-01     3.183e-01     3.661e-02
    6       6.000s     2.030e-01     2.308e-01     2.785e-02
    7       7.000s     1.581e-01     1.640e-01     5.891e-03
    8       8.000s     1.110e-01     1.129e-01     1.856e-03
    9       9.000s     6.467e-02     7.388e-02     9.217e-03
   10      10.000s     4.130e-02     4.412e-02     2.818e-03
   11      11.000s     3.942e-02     2.143e-02    -1.799e-02
   12      12.000s     3.492e-02     4.140e-03    -3.078e-02
   13      13.000s     1.613e-02    -9.008e-03    -2.514e-02
   14      14.000s    -7.386e-03    -1.899e-02    -1.161e-02
   15      15.000s    -2.698e-02    -2.655e-02     4.286e-04
   16      16.000s    -4.300e-02    -3.226e-02     1.074e-02
   17      17.000s    -5.246e-02    -3.655e-02     1.591e-02
   18      18.000s    -5.027e-02    -3.976e-02     1.051e-02
   19      19.000s    -4.396e-02    -4.214e-02     1.817e-03
   20      20.000s    -4.782e-02    -4.389e-02     3.934e-03
   21      21.000s    -6.033e-02    -4.515e-02     1.518e-02
   22      22.000s    -6.450e-02    -4.604e-02     1.846e-02
   23      23.000s    -5.293e-02    -4.665e-02     6.283e-03
   24      24.000s    -3.648e-02    -4.704e-02    -1.056e-02
   25      25.000s    -2.687e-02    -4.727e-02    -2.039e-02
   26      26.000s    -2.631e-02    -4.737e-02    -2.105e-02
   27      27.000s    -3.470e-02    -4.737e-02    -1.267e-02
   28      28.000s    -5.017e-02    -4.731e-02     2.857e-03
   29      29.000s    -6.097e-02    -4.719e-02     1.378e-02
   30      30.000s    -5.499e-02    -4.702e-02     7.969e-03

============================================================

