SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000043-d2o-2mM-6-8-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.503e+00    -3.181e-02  
T     =       2.785s    1152768202612388.750s  

RSS   =    2.118e-02
SD    =    2.657e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.018e+00     1.786e-02
    2       2.000s     7.346e-01     7.012e-01    -3.345e-02
    3       3.000s     4.810e-01     4.800e-01    -1.005e-03
    4       4.000s     3.152e-01     3.256e-01     1.037e-02
    5       5.000s     2.230e-01     2.178e-01    -5.234e-03
    6       6.000s     1.466e-01     1.425e-01    -4.153e-03
    7       7.000s     6.963e-02     8.988e-02     2.025e-02
    8       8.000s     2.367e-02     5.317e-02     2.950e-02
    9       9.000s     1.842e-02     2.753e-02     9.112e-03
   10      10.000s     1.385e-02     9.625e-03    -4.229e-03
   11      11.000s    -1.636e-02    -2.877e-03     1.348e-02
   12      12.000s    -3.623e-02    -1.161e-02     2.463e-02
   13      13.000s    -3.563e-03    -1.770e-02    -1.414e-02
   14      14.000s     5.265e-02    -2.196e-02    -7.461e-02
   15      15.000s     6.242e-02    -2.493e-02    -8.735e-02
   16      16.000s     1.252e-02    -2.701e-02    -3.952e-02
   17      17.000s    -3.823e-02    -2.846e-02     9.777e-03
   18      18.000s    -4.532e-02    -2.947e-02     1.585e-02
   19      19.000s    -3.060e-02    -3.018e-02     4.212e-04
   20      20.000s    -3.232e-02    -3.067e-02     1.652e-03
   21      21.000s    -4.728e-02    -3.101e-02     1.627e-02
   22      22.000s    -5.053e-02    -3.125e-02     1.928e-02
   23      23.000s    -4.152e-02    -3.142e-02     1.010e-02
   24      24.000s    -3.916e-02    -3.154e-02     7.618e-03
   25      25.000s    -4.789e-02    -3.162e-02     1.627e-02
   26      26.000s    -5.483e-02    -3.168e-02     2.315e-02
   27      27.000s    -5.140e-02    -3.172e-02     1.968e-02
   28      28.000s    -4.026e-02    -3.175e-02     8.511e-03
   29      29.000s    -2.842e-02    -3.177e-02    -3.342e-03
   30      30.000s    -2.505e-02    -3.178e-02    -6.732e-03

============================================================

