SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000044-d2o-2mM-6-8-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.237e+00     3.584e-02  
T     =       4.206s    45706384847915.758s  

RSS   =    6.036e-02
SD    =    4.486e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.011e+00     1.098e-02
    2       2.000s     8.015e-01     8.047e-01     3.193e-03
    3       3.000s     6.463e-01     6.420e-01    -4.361e-03
    4       4.000s     5.531e-01     5.137e-01    -3.936e-02
    5       5.000s     4.545e-01     4.126e-01    -4.191e-02
    6       6.000s     3.250e-01     3.329e-01     7.882e-03
    7       7.000s     2.143e-01     2.700e-01     5.575e-02
    8       8.000s     1.638e-01     2.205e-01     5.669e-02
    9       9.000s     1.520e-01     1.814e-01     2.945e-02
   10      10.000s     1.395e-01     1.506e-01     1.113e-02
   11      11.000s     1.245e-01     1.263e-01     1.856e-03
   12      12.000s     1.254e-01     1.072e-01    -1.822e-02
   13      13.000s     1.367e-01     9.209e-02    -4.458e-02
   14      14.000s     1.330e-01     8.019e-02    -5.279e-02
   15      15.000s     1.081e-01     7.080e-02    -3.734e-02
   16      16.000s     8.274e-02     6.341e-02    -1.933e-02
   17      17.000s     7.223e-02     5.758e-02    -1.466e-02
   18      18.000s     6.735e-02     5.298e-02    -1.437e-02
   19      19.000s     5.298e-02     4.935e-02    -3.631e-03
   20      20.000s     3.297e-02     4.649e-02     1.352e-02
   21      21.000s     2.350e-02     4.424e-02     2.074e-02
   22      22.000s     2.560e-02     4.246e-02     1.687e-02
   23      23.000s     1.747e-02     4.106e-02     2.359e-02
   24      24.000s    -1.724e-02     3.996e-02     5.720e-02
   25      25.000s    -5.733e-02     3.909e-02     9.642e-02
   26      26.000s    -5.362e-02     3.840e-02     9.202e-02
   27      27.000s     1.719e-02     3.786e-02     2.067e-02
   28      28.000s     1.112e-01     3.743e-02    -7.381e-02
   29      29.000s     1.460e-01     3.710e-02    -1.089e-01
   30      30.000s     8.155e-02     3.683e-02    -4.471e-02

============================================================

