SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000044-d2o-2mM-6-8-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 381 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.276e+00     2.201e-01  
T     =       2.382s       10.278s  

RSS   =    5.613e-02
SD    =    4.326e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.038e+00     3.825e-02
    2       2.000s     7.877e-01     7.323e-01    -5.543e-02
    3       3.000s     5.634e-01     5.266e-01    -3.684e-02
    4       4.000s     3.927e-01     3.872e-01    -5.538e-03
    5       5.000s     2.642e-01     2.918e-01     2.758e-02
    6       6.000s     1.728e-01     2.256e-01     5.282e-02
    7       7.000s     1.363e-01     1.790e-01     4.266e-02
    8       8.000s     1.339e-01     1.455e-01     1.158e-02
    9       9.000s     1.115e-01     1.209e-01     9.379e-03
   10      10.000s     6.803e-02     1.024e-01     3.435e-02
   11      11.000s     6.421e-02     8.809e-02     2.387e-02
   12      12.000s     1.175e-01     7.677e-02    -4.070e-02
   13      13.000s     1.576e-01     6.758e-02    -9.003e-02
   14      14.000s     1.302e-01     5.995e-02    -7.026e-02
   15      15.000s     8.073e-02     5.350e-02    -2.723e-02
   16      16.000s     7.756e-02     4.795e-02    -2.960e-02
   17      17.000s     1.022e-01     4.312e-02    -5.906e-02
   18      18.000s     8.691e-02     3.887e-02    -4.804e-02
   19      19.000s     2.906e-02     3.510e-02     6.033e-03
   20      20.000s    -9.096e-03     3.173e-02     4.083e-02
   21      21.000s    -2.779e-03     2.872e-02     3.150e-02
   22      22.000s     5.154e-03     2.601e-02     2.085e-02
   23      23.000s    -1.855e-02     2.357e-02     4.212e-02
   24      24.000s    -5.066e-02     2.136e-02     7.202e-02
   25      25.000s    -5.625e-02     1.937e-02     7.561e-02
   26      26.000s    -3.356e-02     1.756e-02     5.112e-02
   27      27.000s     6.977e-04     1.593e-02     1.523e-02
   28      28.000s     3.311e-02     1.445e-02    -1.866e-02
   29      29.000s     4.833e-02     1.311e-02    -3.522e-02
   30      30.000s     3.454e-02     1.189e-02    -2.265e-02

============================================================

