SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000045-d2o-2mM-6-8-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 273 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.143e+00     2.999e-01  
T     =       2.178s       60.067s  

RSS   =    1.629e-02
SD    =    2.330e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.017e+00     1.694e-02
    2       2.000s     7.877e-01     7.462e-01    -4.145e-02
    3       3.000s     5.704e-01     5.735e-01     3.067e-03
    4       4.000s     4.280e-01     4.627e-01     3.465e-02
    5       5.000s     3.818e-01     3.910e-01     9.171e-03
    6       6.000s     3.701e-01     3.441e-01    -2.604e-02
    7       7.000s     3.298e-01     3.128e-01    -1.702e-02
    8       8.000s     2.737e-01     2.915e-01     1.784e-02
    9       9.000s     2.496e-01     2.765e-01     2.694e-02
   10      10.000s     2.574e-01     2.655e-01     8.062e-03
   11      11.000s     2.571e-01     2.570e-01    -7.446e-05
   12      12.000s     2.386e-01     2.502e-01     1.159e-02
   13      13.000s     2.305e-01     2.444e-01     1.393e-02
   14      14.000s     2.453e-01     2.394e-01    -5.899e-03
   15      15.000s     2.637e-01     2.348e-01    -2.892e-02
   16      16.000s     2.713e-01     2.305e-01    -4.083e-02
   17      17.000s     2.692e-01     2.264e-01    -4.278e-02
   18      18.000s     2.508e-01     2.225e-01    -2.828e-02
   19      19.000s     2.095e-01     2.188e-01     9.210e-03
   20      20.000s     1.699e-01     2.151e-01     4.519e-02
   21      21.000s     1.697e-01     2.115e-01     4.177e-02
   22      22.000s     2.051e-01     2.080e-01     2.875e-03
   23      23.000s     2.290e-01     2.045e-01    -2.453e-02
   24      24.000s     2.142e-01     2.011e-01    -1.306e-02
   25      25.000s     1.843e-01     1.978e-01     1.347e-02
   26      26.000s     1.735e-01     1.945e-01     2.099e-02
   27      27.000s     1.831e-01     1.913e-01     8.252e-03
   28      28.000s     1.924e-01     1.882e-01    -4.222e-03
   29      29.000s     1.911e-01     1.850e-01    -6.045e-03
   30      30.000s     1.864e-01     1.820e-01    -4.387e-03

============================================================

