SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000045-d2o-2mM-6-8-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 195 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    8.886e-01     3.761e-01  
T     =       2.938s       78.363s  

RSS   =    3.433e-02
SD    =    3.383e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.004e+00     3.644e-03
    2       2.000s     8.270e-01     8.165e-01    -1.043e-02
    3       3.000s     6.900e-01     6.821e-01    -7.900e-03
    4       4.000s     5.859e-01     5.852e-01    -6.874e-04
    5       5.000s     4.937e-01     5.149e-01     2.128e-02
    6       6.000s     4.260e-01     4.637e-01     3.775e-02
    7       7.000s     4.061e-01     4.260e-01     1.991e-02
    8       8.000s     4.176e-01     3.980e-01    -1.959e-02
    9       9.000s     4.179e-01     3.769e-01    -4.107e-02
   10      10.000s     3.930e-01     3.606e-01    -3.233e-02
   11      11.000s     3.628e-01     3.479e-01    -1.489e-02
   12      12.000s     3.442e-01     3.377e-01    -6.510e-03
   13      13.000s     3.378e-01     3.293e-01    -8.548e-03
   14      14.000s     3.422e-01     3.222e-01    -2.005e-02
   15      15.000s     3.491e-01     3.160e-01    -3.305e-02
   16      16.000s     3.339e-01     3.105e-01    -2.341e-02
   17      17.000s     2.831e-01     3.055e-01     2.241e-02
   18      18.000s     2.243e-01     3.009e-01     7.660e-02
   19      19.000s     2.033e-01     2.965e-01     9.320e-02
   20      20.000s     2.334e-01     2.924e-01     5.901e-02
   21      21.000s     2.861e-01     2.884e-01     2.370e-03
   22      22.000s     3.234e-01     2.846e-01    -3.879e-02
   23      23.000s     3.221e-01     2.808e-01    -4.124e-02
   24      24.000s     2.845e-01     2.772e-01    -7.300e-03
   25      25.000s     2.460e-01     2.736e-01     2.760e-02
   26      26.000s     2.500e-01     2.701e-01     2.005e-02
   27      27.000s     2.912e-01     2.666e-01    -2.457e-02
   28      28.000s     3.109e-01     2.632e-01    -4.774e-02
   29      29.000s     2.790e-01     2.598e-01    -1.913e-02
   30      30.000s     2.437e-01     2.565e-01     1.283e-02

============================================================

