SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000047-d2o-2mM-6-8-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 351 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.152e+00     3.555e-01  
T     =       1.853s       32.644s  

RSS   =    5.291e-02
SD    =    4.200e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.016e+00     1.612e-02
    2       2.000s     7.579e-01     7.258e-01    -3.213e-02
    3       3.000s     5.464e-01     5.524e-01     6.034e-03
    4       4.000s     4.493e-01     4.475e-01    -1.841e-03
    5       5.000s     4.139e-01     3.825e-01    -3.139e-02
    6       6.000s     3.490e-01     3.410e-01    -8.028e-03
    7       7.000s     2.563e-01     3.132e-01     5.690e-02
    8       8.000s     2.035e-01     2.936e-01     9.010e-02
    9       9.000s     2.105e-01     2.788e-01     6.830e-02
   10      10.000s     2.362e-01     2.669e-01     3.069e-02
   11      11.000s     2.569e-01     2.568e-01    -9.203e-05
   12      12.000s     2.860e-01     2.479e-01    -3.811e-02
   13      13.000s     3.193e-01     2.397e-01    -7.957e-02
   14      14.000s     3.246e-01     2.321e-01    -9.249e-02
   15      15.000s     2.944e-01     2.249e-01    -6.955e-02
   16      16.000s     2.574e-01     2.179e-01    -3.946e-02
   17      17.000s     2.285e-01     2.113e-01    -1.718e-02
   18      18.000s     1.953e-01     2.049e-01     9.527e-03
   19      19.000s     1.636e-01     1.987e-01     3.503e-02
   20      20.000s     1.644e-01     1.927e-01     2.829e-02
   21      21.000s     1.979e-01     1.868e-01    -1.108e-02
   22      22.000s     2.168e-01     1.812e-01    -3.556e-02
   23      23.000s     1.905e-01     1.757e-01    -1.478e-02
   24      24.000s     1.494e-01     1.704e-01     2.105e-02
   25      25.000s     1.339e-01     1.653e-01     3.139e-02
   26      26.000s     1.358e-01     1.603e-01     2.450e-02
   27      27.000s     1.247e-01     1.555e-01     3.076e-02
   28      28.000s     1.076e-01     1.508e-01     4.318e-02
   29      29.000s     1.217e-01     1.462e-01     2.450e-02
   30      30.000s     1.790e-01     1.418e-01    -3.716e-02

============================================================

