SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000047-d2o-2mM-6-8-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.421e+00     2.810e-01  
T     =       1.598s    3065352708922025.500s  

RSS   =    4.350e-02
SD    =    3.808e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.041e+00     4.090e-02
    2       2.000s     7.771e-01     6.874e-01    -8.967e-02
    3       3.000s     5.327e-01     4.984e-01    -3.433e-02
    4       4.000s     3.545e-01     3.973e-01     4.272e-02
    5       5.000s     2.763e-01     3.432e-01     6.693e-02
    6       6.000s     2.490e-01     3.143e-01     6.526e-02
    7       7.000s     2.304e-01     2.988e-01     6.843e-02
    8       8.000s     2.379e-01     2.905e-01     5.267e-02
    9       9.000s     2.855e-01     2.861e-01     6.006e-04
   10      10.000s     3.284e-01     2.837e-01    -4.464e-02
   11      11.000s     3.198e-01     2.825e-01    -3.733e-02
   12      12.000s     2.842e-01     2.818e-01    -2.359e-03
   13      13.000s     2.798e-01     2.814e-01     1.604e-03
   14      14.000s     3.116e-01     2.812e-01    -3.030e-02
   15      15.000s     3.306e-01     2.811e-01    -4.946e-02
   16      16.000s     3.141e-01     2.811e-01    -3.297e-02
   17      17.000s     2.932e-01     2.811e-01    -1.211e-02
   18      18.000s     2.950e-01     2.810e-01    -1.397e-02
   19      19.000s     2.992e-01     2.810e-01    -1.813e-02
   20      20.000s     2.760e-01     2.810e-01     5.057e-03
   21      21.000s     2.397e-01     2.810e-01     4.133e-02
   22      22.000s     2.321e-01     2.810e-01     4.891e-02
   23      23.000s     2.632e-01     2.810e-01     1.788e-02
   24      24.000s     2.974e-01     2.810e-01    -1.634e-02
   25      25.000s     3.031e-01     2.810e-01    -2.208e-02
   26      26.000s     2.908e-01     2.810e-01    -9.793e-03
   27      27.000s     2.891e-01     2.810e-01    -8.108e-03
   28      28.000s     2.999e-01     2.810e-01    -1.888e-02
   29      29.000s     2.988e-01     2.810e-01    -1.778e-02
   30      30.000s     2.750e-01     2.810e-01     5.977e-03

============================================================

