SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/_bmse000048-d2o-2mM-6-8-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    2.181e+03    -2.179e+03  
T     =       5.745s        5.749s  

RSS   =    2.800e+00
SD    =    3.055e-01

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.137e+00     1.371e-01
    2       2.000s     7.889e-01     7.805e-01    -8.352e-03
    3       3.000s     5.636e-01     5.088e-01    -5.477e-02
    4       4.000s     3.789e-01     3.040e-01    -7.490e-02
    5       5.000s     2.446e-01     1.516e-01    -9.301e-02
    6       6.000s     1.355e-01     4.018e-02    -9.535e-02
    7       7.000s     3.555e-02    -3.954e-02    -7.509e-02
    8       8.000s    -4.992e-02    -9.483e-02    -4.490e-02
    9       9.000s    -1.147e-01    -1.314e-01    -1.672e-02
   10      10.000s    -1.605e-01    -1.540e-01     6.513e-03
   11      11.000s    -1.906e-01    -1.659e-01     2.467e-02
   12      12.000s    -2.126e-01    -1.701e-01     4.245e-02
   13      13.000s    -2.386e-01    -1.688e-01     6.981e-02
   14      14.000s    -2.724e-01    -1.635e-01     1.089e-01
   15      15.000s    -3.071e-01    -1.556e-01     1.515e-01
   16      16.000s    -3.411e-01    -1.461e-01     1.950e-01
   17      17.000s    -3.770e-01    -1.356e-01     2.413e-01
   18      18.000s    -4.001e-01    -1.248e-01     2.753e-01
   19      19.000s    -3.871e-01    -1.139e-01     2.732e-01
   20      20.000s    -3.452e-01    -1.034e-01     2.418e-01
   21      21.000s    -3.054e-01    -9.328e-02     2.121e-01
   22      22.000s    -2.596e-01    -8.377e-02     1.758e-01
   23      23.000s    -1.467e-01    -7.492e-02     7.178e-02
   24      24.000s     6.528e-02    -6.676e-02    -1.320e-01
   25      25.000s     3.201e-01    -5.930e-02    -3.794e-01
   26      26.000s     5.306e-01    -5.252e-02    -5.831e-01
   27      27.000s     6.593e-01    -4.639e-02    -7.057e-01
   28      28.000s     7.052e-01    -4.088e-02    -7.460e-01
   29      29.000s     6.539e-01    -3.594e-02    -6.899e-01
   30      30.000s     5.036e-01    -3.154e-02    -5.351e-01

============================================================

