SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/_bmse000048-d2o-2mM-6-8-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 386 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    2.603e+00    -8.338e-01  
T     =       3.308s       30.882s  

RSS   =    8.005e-02
SD    =    5.166e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.117e+00     1.165e-01
    2       2.000s     7.664e-01     6.403e-01    -1.261e-01
    3       3.000s     4.195e-01     2.943e-01    -1.252e-01
    4       4.000s     6.574e-02     4.423e-02    -2.151e-02
    5       5.000s    -1.930e-01    -1.351e-01     5.792e-02
    6       6.000s    -3.407e-01    -2.622e-01     7.849e-02
    7       7.000s    -4.247e-01    -3.511e-01     7.364e-02
    8       8.000s    -4.760e-01    -4.117e-01     6.431e-02
    9       9.000s    -4.928e-01    -4.517e-01     4.112e-02
   10      10.000s    -4.833e-01    -4.765e-01     6.777e-03
   11      11.000s    -4.747e-01    -4.903e-01    -1.565e-02
   12      12.000s    -4.755e-01    -4.961e-01    -2.066e-02
   13      13.000s    -4.680e-01    -4.962e-01    -2.818e-02
   14      14.000s    -4.463e-01    -4.921e-01    -4.583e-02
   15      15.000s    -4.298e-01    -4.851e-01    -5.524e-02
   16      16.000s    -4.313e-01    -4.760e-01    -4.466e-02
   17      17.000s    -4.379e-01    -4.656e-01    -2.768e-02
   18      18.000s    -4.361e-01    -4.542e-01    -1.812e-02
   19      19.000s    -4.322e-01    -4.423e-01    -1.012e-02
   20      20.000s    -4.341e-01    -4.301e-01     3.953e-03
   21      21.000s    -4.331e-01    -4.178e-01     1.523e-02
   22      22.000s    -4.184e-01    -4.056e-01     1.277e-02
   23      23.000s    -3.958e-01    -3.934e-01     2.356e-03
   24      24.000s    -3.782e-01    -3.815e-01    -3.272e-03
   25      25.000s    -3.667e-01    -3.697e-01    -3.006e-03
   26      26.000s    -3.548e-01    -3.583e-01    -3.456e-03
   27      27.000s    -3.441e-01    -3.471e-01    -2.989e-03
   28      28.000s    -3.437e-01    -3.362e-01     7.478e-03
   29      29.000s    -3.546e-01    -3.256e-01     2.900e-02
   30      30.000s    -3.649e-01    -3.153e-01     4.963e-02

============================================================

