SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000051-d2o-2mM-7-24-11-pH-9.43/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 397 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.370e+00     7.543e-02  
T     =       2.727s       17.290s  

RSS   =    4.362e-03
SD    =    1.206e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.020e+00     2.034e-02
    2       2.000s     7.525e-01     7.249e-01    -2.761e-02
    3       3.000s     5.361e-01     5.192e-01    -1.693e-02
    4       4.000s     3.789e-01     3.757e-01    -3.232e-03
    5       5.000s     2.643e-01     2.754e-01     1.105e-02
    6       6.000s     1.856e-01     2.050e-01     1.936e-02
    7       7.000s     1.408e-01     1.554e-01     1.468e-02
    8       8.000s     1.134e-01     1.203e-01     6.967e-03
    9       9.000s     8.890e-02     9.530e-02     6.401e-03
   10      10.000s     7.081e-02     7.728e-02     6.473e-03
   11      11.000s     6.387e-02     6.416e-02     2.973e-04
   12      12.000s     5.891e-02     5.448e-02    -4.427e-03
   13      13.000s     4.906e-02     4.720e-02    -1.861e-03
   14      14.000s     4.395e-02     4.163e-02    -2.315e-03
   15      15.000s     5.143e-02     3.727e-02    -1.416e-02
   16      16.000s     5.988e-02     3.377e-02    -2.611e-02
   17      17.000s     5.449e-02     3.090e-02    -2.359e-02
   18      18.000s     3.957e-02     2.849e-02    -1.107e-02
   19      19.000s     2.897e-02     2.643e-02    -2.546e-03
   20      20.000s     2.484e-02     2.462e-02    -2.222e-04
   21      21.000s     2.078e-02     2.301e-02     2.234e-03
   22      22.000s     1.717e-02     2.156e-02     4.390e-03
   23      23.000s     1.787e-02     2.024e-02     2.376e-03
   24      24.000s     1.849e-02     1.903e-02     5.356e-04
   25      25.000s     1.289e-02     1.791e-02     5.023e-03
   26      26.000s     5.709e-03     1.687e-02     1.116e-02
   27      27.000s     5.216e-03     1.589e-02     1.068e-02
   28      28.000s     8.537e-03     1.498e-02     6.446e-03
   29      29.000s     7.617e-03     1.413e-02     6.513e-03
   30      30.000s     4.933e-03     1.333e-02     8.395e-03

============================================================

