SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000051-d2o-2mM-7-24-11-pH-9.43/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 166 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.476e+00     3.933e-03  
T     =       2.780s      177.371s  

RSS   =    7.850e-03
SD    =    1.618e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.034e+00     3.380e-02
    2       2.000s     7.861e-01     7.226e-01    -6.348e-02
    3       3.000s     5.189e-01     5.055e-01    -1.339e-02
    4       4.000s     3.247e-01     3.539e-01     2.921e-02
    5       5.000s     2.251e-01     2.481e-01     2.298e-02
    6       6.000s     1.672e-01     1.743e-01     7.071e-03
    7       7.000s     1.164e-01     1.228e-01     6.346e-03
    8       8.000s     8.028e-02     8.680e-02     6.512e-03
    9       9.000s     6.431e-02     6.169e-02    -2.619e-03
   10      10.000s     5.289e-02     4.416e-02    -8.728e-03
   11      11.000s     3.620e-02     3.192e-02    -4.277e-03
   12      12.000s     2.291e-02     2.337e-02     4.644e-04
   13      13.000s     1.903e-02     1.740e-02    -1.633e-03
   14      14.000s     1.716e-02     1.323e-02    -3.933e-03
   15      15.000s     1.299e-02     1.031e-02    -2.677e-03
   16      16.000s     1.323e-02     8.266e-03    -4.965e-03
   17      17.000s     2.000e-02     6.834e-03    -1.316e-02
   18      18.000s     2.319e-02     5.829e-03    -1.736e-02
   19      19.000s     1.620e-02     5.122e-03    -1.108e-02
   20      20.000s     6.324e-03     4.622e-03    -1.702e-03
   21      21.000s     2.454e-03     4.267e-03     1.813e-03
   22      22.000s     2.806e-03     4.014e-03     1.208e-03
   23      23.000s     1.683e-03     3.831e-03     2.148e-03
   24      24.000s    -5.768e-04     3.698e-03     4.275e-03
   25      25.000s    -1.162e-03     3.599e-03     4.761e-03
   26      26.000s    -1.239e-03     3.525e-03     4.764e-03
   27      27.000s    -2.753e-03     3.467e-03     6.220e-03
   28      28.000s    -3.999e-03     3.421e-03     7.420e-03
   29      29.000s    -3.098e-03     3.383e-03     6.482e-03
   30      30.000s    -1.535e-03     3.351e-03     4.886e-03

============================================================

