SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000103-d2o-2mM-6-8-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 135 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.401e+00     1.158e-01  
T     =       2.423s      254.186s  

RSS   =    6.109e-02
SD    =    4.512e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.043e+00     4.283e-02
    2       2.000s     7.810e-01     7.288e-01    -5.223e-02
    3       3.000s     5.739e-01     5.208e-01    -5.315e-02
    4       4.000s     4.066e-01     3.830e-01    -2.361e-02
    5       5.000s     2.712e-01     2.916e-01     2.036e-02
    6       6.000s     1.626e-01     2.309e-01     6.837e-02
    7       7.000s     9.984e-02     1.907e-01     9.082e-02
    8       8.000s     9.949e-02     1.639e-01     6.437e-02
    9       9.000s     1.355e-01     1.460e-01     1.050e-02
   10      10.000s     1.592e-01     1.340e-01    -2.521e-02
   11      11.000s     1.602e-01     1.259e-01    -3.433e-02
   12      12.000s     1.679e-01     1.204e-01    -4.754e-02
   13      13.000s     1.877e-01     1.166e-01    -7.106e-02
   14      14.000s     1.861e-01     1.140e-01    -7.216e-02
   15      15.000s     1.568e-01     1.121e-01    -4.475e-02
   16      16.000s     1.418e-01     1.107e-01    -3.115e-02
   17      17.000s     1.564e-01     1.096e-01    -4.682e-02
   18      18.000s     1.517e-01     1.088e-01    -4.291e-02
   19      19.000s     9.881e-02     1.080e-01     9.232e-03
   20      20.000s     5.356e-02     1.074e-01     5.388e-02
   21      21.000s     7.251e-02     1.069e-01     3.439e-02
   22      22.000s     1.142e-01     1.064e-01    -7.763e-03
   23      23.000s     1.010e-01     1.059e-01     4.965e-03
   24      24.000s     4.623e-02     1.055e-01     5.924e-02
   25      25.000s     3.182e-02     1.050e-01     7.322e-02
   26      26.000s     7.551e-02     1.046e-01     2.910e-02
   27      27.000s     1.111e-01     1.042e-01    -6.912e-03
   28      28.000s     1.029e-01     1.038e-01     8.899e-04
   29      29.000s     9.236e-02     1.034e-01     1.100e-02
   30      30.000s     1.114e-01     1.029e-01    -8.466e-03

============================================================

