SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000103-d2o-2mM-6-8-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.345e+00     1.381e-01  
T     =       2.367s    7539776206283976.000s  

RSS   =    5.429e-02
SD    =    4.254e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.020e+00     1.959e-02
    2       2.000s     7.384e-01     7.158e-01    -2.257e-02
    3       3.000s     5.184e-01     5.167e-01    -1.726e-03
    4       4.000s     3.990e-01     3.862e-01    -1.281e-02
    5       5.000s     3.334e-01     3.007e-01    -3.271e-02
    6       6.000s     2.612e-01     2.447e-01    -1.652e-02
    7       7.000s     1.865e-01     2.079e-01     2.148e-02
    8       8.000s     1.431e-01     1.839e-01     4.078e-02
    9       9.000s     1.298e-01     1.681e-01     3.835e-02
   10      10.000s     1.210e-01     1.578e-01     3.680e-02
   11      11.000s     1.106e-01     1.510e-01     4.043e-02
   12      12.000s     1.044e-01     1.465e-01     4.218e-02
   13      13.000s     9.557e-02     1.436e-01     4.807e-02
   14      14.000s     8.478e-02     1.417e-01     5.695e-02
   15      15.000s     9.758e-02     1.405e-01     4.291e-02
   16      16.000s     1.409e-01     1.397e-01    -1.239e-03
   17      17.000s     1.696e-01     1.391e-01    -3.052e-02
   18      18.000s     1.441e-01     1.388e-01    -5.304e-03
   19      19.000s     9.706e-02     1.385e-01     4.149e-02
   20      20.000s     9.070e-02     1.384e-01     4.769e-02
   21      21.000s     1.252e-01     1.383e-01     1.310e-02
   22      22.000s     1.509e-01     1.382e-01    -1.267e-02
   23      23.000s     1.590e-01     1.382e-01    -2.083e-02
   24      24.000s     1.891e-01     1.382e-01    -5.092e-02
   25      25.000s     2.409e-01     1.381e-01    -1.028e-01
   26      26.000s     2.526e-01     1.381e-01    -1.144e-01
   27      27.000s     1.955e-01     1.381e-01    -5.735e-02
   28      28.000s     1.307e-01     1.381e-01     7.443e-03
   29      29.000s     1.268e-01     1.381e-01     1.135e-02
   30      30.000s     1.644e-01     1.381e-01    -2.625e-02

============================================================

