SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000158-d2o-2mM-6-13-2011/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 350 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.372e+00     6.063e-02  
T     =       2.985s       19.635s  

RSS   =    9.939e-03
SD    =    1.820e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.039e+00     3.936e-02
    2       2.000s     8.112e-01     7.571e-01    -5.413e-02
    3       3.000s     5.915e-01     5.545e-01    -3.710e-02
    4       4.000s     3.978e-01     4.089e-01     1.108e-02
    5       5.000s     2.746e-01     3.041e-01     2.955e-02
    6       6.000s     2.102e-01     2.286e-01     1.839e-02
    7       7.000s     1.639e-01     1.740e-01     1.014e-02
    8       8.000s     1.202e-01     1.345e-01     1.426e-02
    9       9.000s     9.127e-02     1.057e-01     1.441e-02
   10      10.000s     7.957e-02     8.460e-02     5.032e-03
   11      11.000s     7.067e-02     6.908e-02    -1.581e-03
   12      12.000s     5.906e-02     5.756e-02    -1.506e-03
   13      13.000s     5.411e-02     4.891e-02    -5.206e-03
   14      14.000s     5.792e-02     4.233e-02    -1.559e-02
   15      15.000s     5.916e-02     3.727e-02    -2.189e-02
   16      16.000s     5.245e-02     3.330e-02    -1.915e-02
   17      17.000s     4.544e-02     3.013e-02    -1.531e-02
   18      18.000s     4.239e-02     2.755e-02    -1.485e-02
   19      19.000s     3.693e-02     2.540e-02    -1.152e-02
   20      20.000s     2.622e-02     2.358e-02    -2.635e-03
   21      21.000s     1.792e-02     2.202e-02     4.093e-03
   22      22.000s     1.675e-02     2.064e-02     3.886e-03
   23      23.000s     1.660e-02     1.941e-02     2.814e-03
   24      24.000s     1.223e-02     1.830e-02     6.076e-03
   25      25.000s     7.986e-03     1.729e-02     9.302e-03
   26      26.000s     8.380e-03     1.636e-02     7.976e-03
   27      27.000s     9.592e-03     1.549e-02     5.899e-03
   28      28.000s     7.175e-03     1.468e-02     7.508e-03
   29      29.000s     4.068e-03     1.393e-02     9.858e-03
   30      30.000s     4.279e-03     1.322e-02     8.937e-03

============================================================

