SIMFIT RESULTS
==============

Dataset : /home/mfjofre/nmr/00212_600_D2O_7-17-2012/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 432 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.855e+00     2.074e-02  
T     =       1.621s       21.034s  

RSS   =    1.174e-02
SD    =    1.978e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.021e+00    2.101e-02
    2       2.000s     6.070e-01     5.592e-01   -4.781e-02
    3       3.000s     3.397e-01     3.096e-01   -3.017e-02
    4       4.000s     1.102e-01     1.745e-01    6.429e-02
    5       5.000s     6.698e-02     1.013e-01    3.429e-02
    6       6.000s     3.865e-02     6.142e-02    2.277e-02
    7       7.000s     4.398e-02     3.960e-02   -4.383e-03
    8       8.000s     3.475e-02     2.752e-02   -7.227e-03
    9       9.000s     3.755e-02     2.072e-02   -1.683e-02
   10      10.000s     3.281e-02     1.678e-02   -1.603e-02
   11      11.000s     4.145e-02     1.439e-02   -2.706e-02
   12      12.000s     3.589e-02     1.285e-02   -2.304e-02
   13      13.000s     2.331e-02     1.179e-02   -1.152e-02
   14      14.000s     1.371e-02     1.099e-02   -2.727e-03
   15      15.000s     7.485e-03     1.034e-02    2.856e-03
   16      16.000s     5.247e-03     9.787e-03    4.539e-03
   17      17.000s     7.743e-03     9.293e-03    1.549e-03
   18      18.000s     7.397e-03     8.840e-03    1.443e-03
   19      19.000s     6.871e-03     8.418e-03    1.547e-03
   20      20.000s     2.039e-03     8.021e-03    5.981e-03
   21      21.000s     6.526e-03     7.645e-03    1.118e-03
   22      22.000s     2.635e-03     7.288e-03    4.653e-03
   23      23.000s     1.567e-03     6.949e-03    5.382e-03
   24      24.000s     3.959e-04     6.626e-03    6.230e-03
   25      25.000s     5.313e-03     6.318e-03    1.004e-03
   26      26.000s    -2.579e-03     6.024e-03    8.603e-03
   27      27.000s     5.684e-03     5.744e-03    6.067e-05
   28      28.000s     2.392e-03     5.478e-03    3.086e-03
   29      29.000s     5.577e-03     5.223e-03   -3.533e-04
   30      30.000s     1.543e-03     4.981e-03    3.438e-03

============================================================

