SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/bmrb/nmr/bmrb_batch06_121130.Auto01/110/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 151 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.418e+00     9.178e-03  
T     =       3.011s      340.605s  

RSS   =    4.543e-03
SD    =    1.231e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.027e+00     2.658e-02
    2       2.000s     7.744e-01     7.390e-01    -3.542e-02
    3       3.000s     5.504e-01     5.327e-01    -1.763e-02
    4       4.000s     3.860e-01     3.847e-01    -1.277e-03
    5       5.000s     2.714e-01     2.785e-01     7.093e-03
    6       6.000s     1.906e-01     2.024e-01     1.179e-02
    7       7.000s     1.343e-01     1.477e-01     1.342e-02
    8       8.000s     9.417e-02     1.085e-01     1.430e-02
    9       9.000s     6.801e-02     8.032e-02     1.232e-02
   10      10.000s     5.064e-02     6.012e-02     9.482e-03
   11      11.000s     3.988e-02     4.563e-02     5.746e-03
   12      12.000s     3.301e-02     3.522e-02     2.202e-03
   13      13.000s     3.043e-02     2.774e-02    -2.686e-03
   14      14.000s     3.056e-02     2.237e-02    -8.182e-03
   15      15.000s     3.329e-02     1.851e-02    -1.478e-02
   16      16.000s     3.519e-02     1.574e-02    -1.945e-02
   17      17.000s     3.194e-02     1.374e-02    -1.820e-02
   18      18.000s     2.462e-02     1.230e-02    -1.232e-02
   19      19.000s     1.868e-02     1.126e-02    -7.421e-03
   20      20.000s     1.400e-02     1.050e-02    -3.497e-03
   21      21.000s     1.090e-02     9.956e-03    -9.457e-04
   22      22.000s     8.406e-03     9.556e-03     1.150e-03
   23      23.000s     6.889e-03     9.262e-03     2.373e-03
   24      24.000s     5.579e-03     9.043e-03     3.464e-03
   25      25.000s     4.729e-03     8.880e-03     4.151e-03
   26      26.000s     3.881e-03     8.756e-03     4.875e-03
   27      27.000s     3.440e-03     8.659e-03     5.219e-03
   28      28.000s     2.899e-03     8.583e-03     5.684e-03
   29      29.000s     2.648e-03     8.522e-03     5.874e-03
   30      30.000s     2.082e-03     8.471e-03     6.389e-03

============================================================

