SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/bmrb/nmr/bmrb_batch06_121130.Auto01/109/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 399 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.436e+00     1.722e-01  
T     =       1.935s       11.069s  

RSS   =    3.871e-03
SD    =    1.136e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.014e+00     1.381e-02
    2       2.000s     6.857e-01     6.546e-01    -3.114e-02
    3       3.000s     4.371e-01     4.360e-01    -1.076e-03
    4       4.000s     2.909e-01     3.017e-01     1.085e-02
    5       5.000s     2.046e-01     2.180e-01     1.338e-02
    6       6.000s     1.550e-01     1.648e-01     9.758e-03
    7       7.000s     1.222e-01     1.301e-01     7.874e-03
    8       8.000s     1.018e-01     1.066e-01     4.816e-03
    9       9.000s     8.696e-02     9.009e-02     3.131e-03
   10      10.000s     7.811e-02     7.795e-02    -1.519e-04
   11      11.000s     7.181e-02     6.862e-02    -3.187e-03
   12      12.000s     6.941e-02     6.115e-02    -8.263e-03
   13      13.000s     6.800e-02     5.494e-02    -1.306e-02
   14      14.000s     6.728e-02     4.965e-02    -1.763e-02
   15      15.000s     6.535e-02     4.503e-02    -2.032e-02
   16      16.000s     6.007e-02     4.094e-02    -1.912e-02
   17      17.000s     4.852e-02     3.729e-02    -1.123e-02
   18      18.000s     3.717e-02     3.400e-02    -3.167e-03
   19      19.000s     2.783e-02     3.102e-02     3.188e-03
   20      20.000s     2.195e-02     2.832e-02     6.364e-03
   21      21.000s     1.740e-02     2.586e-02     8.457e-03
   22      22.000s     1.471e-02     2.361e-02     8.906e-03
   23      23.000s     1.218e-02     2.157e-02     9.390e-03
   24      24.000s     1.058e-02     1.970e-02     9.127e-03
   25      25.000s     8.793e-03     1.800e-02     9.205e-03
   26      26.000s     7.829e-03     1.644e-02     8.614e-03
   27      27.000s     6.723e-03     1.502e-02     8.299e-03
   28      28.000s     6.257e-03     1.372e-02     7.467e-03
   29      29.000s     5.434e-03     1.254e-02     7.105e-03
   30      30.000s     5.062e-03     1.146e-02     6.393e-03

============================================================

