SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/bmrb/nmr/bmrb_batch06_121130.Auto01/108/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 347 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.465e+00     1.479e-02  
T     =       2.670s       39.333s  

RSS   =    4.799e-03
SD    =    1.265e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.022e+00     2.208e-02
    2       2.000s     7.345e-01     7.070e-01    -2.755e-02
    3       3.000s     5.120e-01     4.902e-01    -2.177e-02
    4       4.000s     3.436e-01     3.410e-01    -2.530e-03
    5       5.000s     2.294e-01     2.383e-01     8.972e-03
    6       6.000s     1.527e-01     1.676e-01     1.494e-02
    7       7.000s     1.017e-01     1.189e-01     1.719e-02
    8       8.000s     6.887e-02     8.534e-02     1.647e-02
    9       9.000s     4.840e-02     6.215e-02     1.375e-02
   10      10.000s     3.676e-02     4.612e-02     9.358e-03
   11      11.000s     3.023e-02     3.501e-02     4.781e-03
   12      12.000s     2.787e-02     2.729e-02    -5.872e-04
   13      13.000s     2.872e-02     2.190e-02    -6.829e-03
   14      14.000s     3.294e-02     1.811e-02    -1.483e-02
   15      15.000s     3.754e-02     1.543e-02    -2.211e-02
   16      16.000s     3.597e-02     1.351e-02    -2.246e-02
   17      17.000s     2.850e-02     1.212e-02    -1.638e-02
   18      18.000s     2.146e-02     1.109e-02    -1.037e-02
   19      19.000s     1.547e-02     1.032e-02    -5.155e-03
   20      20.000s     1.122e-02     9.716e-03    -1.507e-03
   21      21.000s     8.103e-03     9.236e-03     1.134e-03
   22      22.000s     6.104e-03     8.843e-03     2.739e-03
   23      23.000s     4.501e-03     8.509e-03     4.009e-03
   24      24.000s     3.540e-03     8.219e-03     4.680e-03
   25      25.000s     2.753e-03     7.960e-03     5.207e-03
   26      26.000s     2.269e-03     7.724e-03     5.456e-03
   27      27.000s     1.729e-03     7.506e-03     5.776e-03
   28      28.000s     1.508e-03     7.300e-03     5.793e-03
   29      29.000s     1.252e-03     7.105e-03     5.853e-03
   30      30.000s     1.183e-03     6.919e-03     5.735e-03

============================================================

