SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/bmrb/nmr/bmrb_batch06_121130.Auto01/104/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.361e+00     9.154e-03  
T     =       3.588s    70917446496297.719s  

RSS   =    9.675e-03
SD    =    1.796e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.039e+00     3.934e-02
    2       2.000s     8.171e-01     7.888e-01    -2.834e-02
    3       3.000s     6.305e-01     5.992e-01    -3.138e-02
    4       4.000s     4.849e-01     4.557e-01    -2.926e-02
    5       5.000s     3.589e-01     3.471e-01    -1.184e-02
    6       6.000s     2.573e-01     2.649e-01     7.586e-03
    7       7.000s     1.796e-01     2.027e-01     2.312e-02
    8       8.000s     1.250e-01     1.556e-01     3.063e-02
    9       9.000s     8.744e-02     1.200e-01     3.254e-02
   10      10.000s     6.539e-02     9.303e-02     2.764e-02
   11      11.000s     5.288e-02     7.263e-02     1.975e-02
   12      12.000s     4.728e-02     5.719e-02     9.915e-03
   13      13.000s     4.559e-02     4.551e-02    -8.093e-05
   14      14.000s     4.697e-02     3.667e-02    -1.030e-02
   15      15.000s     4.732e-02     2.997e-02    -1.734e-02
   16      16.000s     4.448e-02     2.491e-02    -1.957e-02
   17      17.000s     3.818e-02     2.108e-02    -1.710e-02
   18      18.000s     3.172e-02     1.818e-02    -1.355e-02
   19      19.000s     2.621e-02     1.598e-02    -1.022e-02
   20      20.000s     2.186e-02     1.432e-02    -7.541e-03
   21      21.000s     1.791e-02     1.307e-02    -4.844e-03
   22      22.000s     1.496e-02     1.211e-02    -2.850e-03
   23      23.000s     1.248e-02     1.139e-02    -1.083e-03
   24      24.000s     1.078e-02     1.085e-02     6.735e-05
   25      25.000s     9.322e-03     1.044e-02     1.115e-03
   26      26.000s     8.439e-03     1.013e-02     1.686e-03
   27      27.000s     7.551e-03     9.889e-03     2.338e-03
   28      28.000s     6.941e-03     9.710e-03     2.769e-03
   29      29.000s     6.299e-03     9.575e-03     3.276e-03
   30      30.000s     5.947e-03     9.473e-03     3.526e-03

============================================================

