SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/bmrb/nmr/bmrb_batch06_121130.Auto01/103/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 139 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.428e+00     8.771e-03  
T     =       3.037s      320.580s  

RSS   =    7.121e-03
SD    =    1.541e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.036e+00     3.574e-02
    2       2.000s     7.929e-01     7.476e-01    -4.536e-02
    3       3.000s     5.679e-01     5.402e-01    -2.765e-02
    4       4.000s     3.928e-01     3.911e-01    -1.724e-03
    5       5.000s     2.724e-01     2.838e-01     1.140e-02
    6       6.000s     1.897e-01     2.065e-01     1.687e-02
    7       7.000s     1.329e-01     1.510e-01     1.806e-02
    8       8.000s     9.389e-02     1.110e-01     1.711e-02
    9       9.000s     6.743e-02     8.223e-02     1.480e-02
   10      10.000s     5.012e-02     6.152e-02     1.141e-02
   11      11.000s     3.936e-02     4.662e-02     7.259e-03
   12      12.000s     3.317e-02     3.589e-02     2.720e-03
   13      13.000s     3.093e-02     2.817e-02    -2.762e-03
   14      14.000s     3.175e-02     2.260e-02    -9.150e-03
   15      15.000s     3.461e-02     1.859e-02    -1.602e-02
   16      16.000s     3.615e-02     1.570e-02    -2.045e-02
   17      17.000s     3.261e-02     1.361e-02    -1.900e-02
   18      18.000s     2.584e-02     1.210e-02    -1.375e-02
   19      19.000s     1.958e-02     1.100e-02    -8.580e-03
   20      20.000s     1.469e-02     1.021e-02    -4.478e-03
   21      21.000s     1.125e-02     9.632e-03    -1.618e-03
   22      22.000s     8.758e-03     9.209e-03     4.510e-04
   23      23.000s     7.026e-03     8.897e-03     1.871e-03
   24      24.000s     5.668e-03     8.666e-03     2.998e-03
   25      25.000s     4.668e-03     8.493e-03     3.825e-03
   26      26.000s     3.880e-03     8.361e-03     4.481e-03
   27      27.000s     3.322e-03     8.259e-03     4.937e-03
   28      28.000s     2.859e-03     8.179e-03     5.320e-03
   29      29.000s     2.563e-03     8.114e-03     5.551e-03
   30      30.000s     2.332e-03     8.061e-03     5.729e-03

============================================================

