SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/bmrb/nmr/bmrb_batch06_121130.Auto01/102/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 129 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.411e+00     1.452e-02  
T     =       3.224s      156.253s  

RSS   =    1.307e-02
SD    =    2.087e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.049e+00     4.930e-02
    2       2.000s     8.282e-01     7.732e-01    -5.498e-02
    3       3.000s     6.179e-01     5.707e-01    -4.724e-02
    4       4.000s     4.285e-01     4.222e-01    -6.308e-03
    5       5.000s     2.969e-01     3.133e-01     1.639e-02
    6       6.000s     2.088e-01     2.334e-01     2.456e-02
    7       7.000s     1.475e-01     1.748e-01     2.729e-02
    8       8.000s     1.048e-01     1.318e-01     2.699e-02
    9       9.000s     7.799e-02     1.002e-01     2.223e-02
   10      10.000s     6.204e-02     7.706e-02     1.502e-02
   11      11.000s     5.364e-02     6.005e-02     6.414e-03
   12      12.000s     4.984e-02     4.756e-02    -2.285e-03
   13      13.000s     5.054e-02     3.837e-02    -1.217e-02
   14      14.000s     5.192e-02     3.162e-02    -2.030e-02
   15      15.000s     4.901e-02     2.664e-02    -2.238e-02
   16      16.000s     4.349e-02     2.297e-02    -2.052e-02
   17      17.000s     3.770e-02     2.025e-02    -1.745e-02
   18      18.000s     3.076e-02     1.824e-02    -1.252e-02
   19      19.000s     2.442e-02     1.674e-02    -7.675e-03
   20      20.000s     1.930e-02     1.562e-02    -3.672e-03
   21      21.000s     1.597e-02     1.478e-02    -1.192e-03
   22      22.000s     1.333e-02     1.414e-02     8.159e-04
   23      23.000s     1.151e-02     1.365e-02     2.147e-03
   24      24.000s     9.952e-03     1.327e-02     3.323e-03
   25      25.000s     8.899e-03     1.298e-02     4.076e-03
   26      26.000s     7.864e-03     1.274e-02     4.871e-03
   27      27.000s     7.121e-03     1.254e-02     5.417e-03
   28      28.000s     6.242e-03     1.237e-02     6.132e-03
   29      29.000s     5.611e-03     1.223e-02     6.622e-03
   30      30.000s     4.971e-03     1.211e-02     7.138e-03

============================================================

