SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/bmrb/nmr/bmrb_batch06_121130.Auto01/102/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 227 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.280e+00     1.257e-01  
T     =       2.708s        9.328s  

RSS   =    1.434e-03
SD    =    6.913e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.974e-01    -2.567e-03
    2       2.000s     7.096e-01     7.129e-01     3.312e-03
    3       3.000s     5.051e-01     5.138e-01     8.650e-03
    4       4.000s     3.757e-01     3.740e-01    -1.690e-03
    5       5.000s     2.910e-01     2.755e-01    -1.547e-02
    6       6.000s     2.157e-01     2.057e-01    -9.995e-03
    7       7.000s     1.548e-01     1.559e-01     1.023e-03
    8       8.000s     1.108e-01     1.200e-01     9.221e-03
    9       9.000s     8.253e-02     9.402e-02     1.149e-02
   10      10.000s     6.373e-02     7.491e-02     1.119e-02
   11      11.000s     5.290e-02     6.070e-02     7.797e-03
   12      12.000s     4.674e-02     4.996e-02     3.223e-03
   13      13.000s     4.466e-02     4.173e-02    -2.931e-03
   14      14.000s     4.302e-02     3.531e-02    -7.713e-03
   15      15.000s     4.232e-02     3.021e-02    -1.211e-02
   16      16.000s     3.931e-02     2.610e-02    -1.321e-02
   17      17.000s     3.186e-02     2.273e-02    -9.138e-03
   18      18.000s     2.355e-02     1.992e-02    -3.635e-03
   19      19.000s     1.821e-02     1.755e-02    -6.603e-04
   20      20.000s     1.432e-02     1.553e-02     1.211e-03
   21      21.000s     1.183e-02     1.378e-02     1.951e-03
   22      22.000s     9.263e-03     1.227e-02     3.006e-03
   23      23.000s     7.446e-03     1.094e-02     3.497e-03
   24      24.000s     5.797e-03     9.777e-03     3.980e-03
   25      25.000s     4.960e-03     8.745e-03     3.785e-03
   26      26.000s     4.123e-03     7.830e-03     3.707e-03
   27      27.000s     3.851e-03     7.016e-03     3.165e-03
   28      28.000s     3.410e-03     6.291e-03     2.881e-03
   29      29.000s     3.344e-03     5.643e-03     2.299e-03
   30      30.000s     3.031e-03     5.063e-03     2.032e-03

============================================================

