SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/bmrb/nmr/bmrb_batch06_121130.Auto01/101/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 349 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.379e+00     3.963e-02  
T     =       2.842s       20.166s  

RSS   =    3.072e-03
SD    =    1.012e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.008e+00     7.825e-03
    2       2.000s     7.226e-01     7.182e-01    -4.347e-03
    3       3.000s     5.202e-01     5.141e-01    -6.148e-03
    4       4.000s     3.840e-01     3.701e-01    -1.393e-02
    5       5.000s     2.771e-01     2.684e-01    -8.711e-03
    6       6.000s     1.921e-01     1.964e-01     4.299e-03
    7       7.000s     1.305e-01     1.455e-01     1.500e-02
    8       8.000s     9.114e-02     1.093e-01     1.814e-02
    9       9.000s     6.683e-02     8.347e-02     1.665e-02
   10      10.000s     5.238e-02     6.501e-02     1.263e-02
   11      11.000s     4.416e-02     5.172e-02     7.555e-03
   12      12.000s     4.170e-02     4.208e-02     3.731e-04
   13      13.000s     4.297e-02     3.502e-02    -7.950e-03
   14      14.000s     4.738e-02     2.980e-02    -1.758e-02
   15      15.000s     4.811e-02     2.587e-02    -2.224e-02
   16      16.000s     4.173e-02     2.287e-02    -1.885e-02
   17      17.000s     3.245e-02     2.054e-02    -1.191e-02
   18      18.000s     2.525e-02     1.868e-02    -6.575e-03
   19      19.000s     2.002e-02     1.717e-02    -2.847e-03
   20      20.000s     1.624e-02     1.591e-02    -3.302e-04
   21      21.000s     1.296e-02     1.484e-02     1.884e-03
   22      22.000s     1.067e-02     1.391e-02     3.235e-03
   23      23.000s     8.815e-03     1.309e-02     4.273e-03
   24      24.000s     7.716e-03     1.235e-02     4.634e-03
   25      25.000s     6.767e-03     1.168e-02     4.912e-03
   26      26.000s     6.172e-03     1.106e-02     4.891e-03
   27      27.000s     5.505e-03     1.049e-02     4.986e-03
   28      28.000s     5.047e-03     9.958e-03     4.911e-03
   29      29.000s     4.364e-03     9.458e-03     5.094e-03
   30      30.000s     3.876e-03     8.988e-03     5.112e-03

============================================================

