SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/bmrb/nmr/bmrb_batch06_121130.Auto01/106/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 309 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.436e+00     1.988e-02  
T     =       2.882s       55.402s  

RSS   =    8.448e-03
SD    =    1.678e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.035e+00     3.473e-02
    2       2.000s     7.798e-01     7.368e-01    -4.306e-02
    3       3.000s     5.564e-01     5.261e-01    -3.036e-02
    4       4.000s     3.824e-01     3.771e-01    -5.323e-03
    5       5.000s     2.598e-01     2.716e-01     1.186e-02
    6       6.000s     1.751e-01     1.970e-01     2.186e-02
    7       7.000s     1.194e-01     1.442e-01     2.479e-02
    8       8.000s     8.373e-02     1.067e-01     2.299e-02
    9       9.000s     6.274e-02     8.018e-02     1.744e-02
   10      10.000s     5.021e-02     6.133e-02     1.111e-02
   11      11.000s     4.410e-02     4.792e-02     3.818e-03
   12      12.000s     4.168e-02     3.836e-02    -3.324e-03
   13      13.000s     4.377e-02     3.152e-02    -1.225e-02
   14      14.000s     4.605e-02     2.661e-02    -1.944e-02
   15      15.000s     4.595e-02     2.306e-02    -2.289e-02
   16      16.000s     4.212e-02     2.047e-02    -2.165e-02
   17      17.000s     3.555e-02     1.857e-02    -1.698e-02
   18      18.000s     2.805e-02     1.716e-02    -1.089e-02
   19      19.000s     2.212e-02     1.608e-02    -6.036e-03
   20      20.000s     1.741e-02     1.525e-02    -2.160e-03
   21      21.000s     1.423e-02     1.459e-02     3.636e-04
   22      22.000s     1.161e-02     1.406e-02     2.450e-03
   23      23.000s     9.933e-03     1.362e-02     3.687e-03
   24      24.000s     8.552e-03     1.324e-02     4.689e-03
   25      25.000s     7.824e-03     1.291e-02     5.084e-03
   26      26.000s     6.976e-03     1.261e-02     5.633e-03
   27      27.000s     6.468e-03     1.234e-02     5.868e-03
   28      28.000s     5.869e-03     1.208e-02     6.213e-03
   29      29.000s     5.578e-03     1.184e-02     6.264e-03
   30      30.000s     5.094e-03     1.161e-02     6.520e-03

============================================================

