SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/bmrb/nmr/bmrb_batch06_121130.Auto01/106/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.520e+00     8.656e-03  
T     =       2.638s    55738297791.629s  

RSS   =    1.428e-02
SD    =    2.182e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.049e+00     4.880e-02
    2       2.000s     7.988e-01     7.206e-01    -7.816e-02
    3       3.000s     5.255e-01     4.960e-01    -2.952e-02
    4       4.000s     3.283e-01     3.422e-01     1.385e-02
    5       5.000s     2.095e-01     2.369e-01     2.740e-02
    6       6.000s     1.378e-01     1.649e-01     2.709e-02
    7       7.000s     9.246e-02     1.156e-01     2.315e-02
    8       8.000s     6.426e-02     8.186e-02     1.760e-02
    9       9.000s     4.617e-02     5.876e-02     1.260e-02
   10      10.000s     3.587e-02     4.295e-02     7.085e-03
   11      11.000s     2.988e-02     3.213e-02     2.246e-03
   12      12.000s     2.806e-02     2.472e-02    -3.336e-03
   13      13.000s     2.868e-02     1.965e-02    -9.028e-03
   14      14.000s     3.180e-02     1.618e-02    -1.562e-02
   15      15.000s     3.449e-02     1.381e-02    -2.068e-02
   16      16.000s     3.463e-02     1.218e-02    -2.245e-02
   17      17.000s     3.113e-02     1.107e-02    -2.006e-02
   18      18.000s     2.473e-02     1.031e-02    -1.443e-02
   19      19.000s     1.730e-02     9.787e-03    -7.514e-03
   20      20.000s     1.248e-02     9.430e-03    -3.047e-03
   21      21.000s     9.186e-03     9.186e-03    -7.600e-07
   22      22.000s     7.294e-03     9.019e-03     1.725e-03
   23      23.000s     5.747e-03     8.904e-03     3.157e-03
   24      24.000s     4.832e-03     8.826e-03     3.994e-03
   25      25.000s     3.950e-03     8.772e-03     4.822e-03
   26      26.000s     3.413e-03     8.735e-03     5.322e-03
   27      27.000s     2.842e-03     8.710e-03     5.869e-03
   28      28.000s     2.595e-03     8.693e-03     6.098e-03
   29      29.000s     2.247e-03     8.681e-03     6.435e-03
   30      30.000s     2.080e-03     8.673e-03     6.593e-03

============================================================

