SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/bmrb/nmr/bmrb_batch06_121130.Auto01/104/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 377 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.500e+00     1.759e-02  
T     =       2.544s       44.595s  

RSS   =    6.973e-03
SD    =    1.525e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.029e+00     2.935e-02
    2       2.000s     7.433e-01     7.000e-01    -4.334e-02
    3       3.000s     5.009e-01     4.775e-01    -2.341e-02
    4       4.000s     3.247e-01     3.273e-01     2.578e-03
    5       5.000s     2.094e-01     2.258e-01     1.636e-02
    6       6.000s     1.352e-01     1.572e-01     2.192e-02
    7       7.000s     9.014e-02     1.107e-01     2.059e-02
    8       8.000s     6.201e-02     7.929e-02     1.728e-02
    9       9.000s     4.621e-02     5.797e-02     1.176e-02
   10      10.000s     3.715e-02     4.348e-02     6.332e-03
   11      11.000s     3.318e-02     3.361e-02     4.260e-04
   12      12.000s     3.164e-02     2.685e-02    -4.791e-03
   13      13.000s     3.261e-02     2.219e-02    -1.042e-02
   14      14.000s     3.513e-02     1.896e-02    -1.617e-02
   15      15.000s     3.783e-02     1.669e-02    -2.114e-02
   16      16.000s     3.668e-02     1.507e-02    -2.161e-02
   17      17.000s     3.139e-02     1.389e-02    -1.749e-02
   18      18.000s     2.374e-02     1.302e-02    -1.073e-02
   19      19.000s     1.751e-02     1.235e-02    -5.166e-03
   20      20.000s     1.279e-02     1.181e-02    -9.780e-04
   21      21.000s     9.803e-03     1.138e-02     1.572e-03
   22      22.000s     7.577e-03     1.101e-02     3.429e-03
   23      23.000s     6.307e-03     1.068e-02     4.375e-03
   24      24.000s     5.236e-03     1.039e-02     5.155e-03
   25      25.000s     4.689e-03     1.012e-02     5.435e-03
   26      26.000s     4.053e-03     9.875e-03     5.822e-03
   27      27.000s     3.717e-03     9.640e-03     5.923e-03
   28      28.000s     3.263e-03     9.415e-03     6.152e-03
   29      29.000s     3.067e-03     9.199e-03     6.131e-03
   30      30.000s     2.653e-03     8.990e-03     6.337e-03

============================================================

