SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/bmrb/nmr/bmrb_batch06_121130.Auto01/103/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 360 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.497e+00     4.840e-02  
T     =       2.324s       19.138s  

RSS   =    4.595e-03
SD    =    1.238e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.019e+00     1.939e-02
    2       2.000s     7.087e-01     6.766e-01    -3.207e-02
    3       3.000s     4.669e-01     4.530e-01    -1.383e-02
    4       4.000s     3.012e-01     3.070e-01     5.793e-03
    5       5.000s     1.995e-01     2.114e-01     1.182e-02
    6       6.000s     1.339e-01     1.486e-01     1.465e-02
    7       7.000s     9.171e-02     1.072e-01     1.549e-02
    8       8.000s     6.602e-02     7.974e-02     1.372e-02
    9       9.000s     5.203e-02     6.137e-02     9.346e-03
   10      10.000s     4.463e-02     4.895e-02     4.322e-03
   11      11.000s     4.136e-02     4.041e-02    -9.534e-04
   12      12.000s     4.128e-02     3.442e-02    -6.865e-03
   13      13.000s     4.388e-02     3.010e-02    -1.378e-02
   14      14.000s     4.755e-02     2.691e-02    -2.065e-02
   15      15.000s     4.784e-02     2.446e-02    -2.338e-02
   16      16.000s     4.145e-02     2.251e-02    -1.894e-02
   17      17.000s     3.238e-02     2.091e-02    -1.148e-02
   18      18.000s     2.445e-02     1.954e-02    -4.904e-03
   19      19.000s     1.859e-02     1.835e-02    -2.316e-04
   20      20.000s     1.471e-02     1.729e-02     2.580e-03
   21      21.000s     1.205e-02     1.633e-02     4.283e-03
   22      22.000s     1.002e-02     1.545e-02     5.431e-03
   23      23.000s     8.611e-03     1.463e-02     6.016e-03
   24      24.000s     7.619e-03     1.386e-02     6.240e-03
   25      25.000s     6.887e-03     1.314e-02     6.252e-03
   26      26.000s     6.252e-03     1.246e-02     6.208e-03
   27      27.000s     5.684e-03     1.182e-02     6.136e-03
   28      28.000s     5.183e-03     1.121e-02     6.032e-03
   29      29.000s     4.668e-03     1.064e-02     5.973e-03
   30      30.000s     4.247e-03     1.010e-02     5.850e-03

============================================================

