SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/DSS-d2o-2mM-5-10-11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 127 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.442e+00    -8.616e-03  
T     =       3.375s      130.785s  

RSS   =    3.641e-02
SD    =    3.484e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.063e+00     6.349e-02
    2       2.000s     8.094e-01     7.886e-01    -2.081e-02
    3       3.000s     6.637e-01     5.843e-01    -7.940e-02
    4       4.000s     5.199e-01     4.323e-01    -8.754e-02
    5       5.000s     3.411e-01     3.194e-01    -2.170e-02
    6       6.000s     1.781e-01     2.354e-01     5.728e-02
    7       7.000s     9.657e-02     1.730e-01     7.642e-02
    8       8.000s     8.015e-02     1.266e-01     4.643e-02
    9       9.000s     6.408e-02     9.211e-02     2.802e-02
   10      10.000s     2.991e-02     6.648e-02     3.657e-02
   11      11.000s     9.925e-03     4.745e-02     3.752e-02
   12      12.000s     1.626e-02     3.331e-02     1.705e-02
   13      13.000s     2.338e-02     2.281e-02    -5.748e-04
   14      14.000s     1.809e-02     1.502e-02    -3.073e-03
   15      15.000s     1.678e-02     9.240e-03    -7.542e-03
   16      16.000s     2.638e-02     4.959e-03    -2.143e-02
   17      17.000s     2.911e-02     1.790e-03    -2.732e-02
   18      18.000s     1.686e-02    -5.519e-04    -1.741e-02
   19      19.000s     6.716e-03    -2.279e-03    -8.995e-03
   20      20.000s     9.559e-03    -3.549e-03    -1.311e-02
   21      21.000s     1.216e-02    -4.478e-03    -1.663e-02
   22      22.000s     3.766e-03    -5.156e-03    -8.922e-03
   23      23.000s    -4.596e-03    -5.646e-03    -1.049e-03
   24      24.000s    -1.907e-03    -5.996e-03    -4.089e-03
   25      25.000s     3.390e-03    -6.243e-03    -9.633e-03
   26      26.000s     6.203e-04    -6.413e-03    -7.033e-03
   27      27.000s    -4.471e-03    -6.526e-03    -2.055e-03
   28      28.000s    -3.081e-03    -6.596e-03    -3.515e-03
   29      29.000s    -1.027e-04    -6.635e-03    -6.533e-03
   30      30.000s    -3.004e-03    -6.651e-03    -3.647e-03

============================================================

