SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/DSS-d2o-2mM-5-10-11/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 451 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.476e+00     8.222e-02  
T     =       2.208s       14.513s  

RSS   =    3.252e-03
SD    =    1.041e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.015e+00     1.527e-02
    2       2.000s     7.029e-01     6.684e-01    -3.456e-02
    3       3.000s     4.458e-01     4.463e-01     4.939e-04
    4       4.000s     2.860e-01     3.037e-01     1.767e-02
    5       5.000s     1.999e-01     2.117e-01     1.174e-02
    6       6.000s     1.505e-01     1.519e-01     1.402e-03
    7       7.000s     1.172e-01     1.128e-01    -4.379e-03
    8       8.000s     8.844e-02     8.681e-02    -1.633e-03
    9       9.000s     6.251e-02     6.930e-02     6.785e-03
   10      10.000s     4.785e-02     5.722e-02     9.375e-03
   11      11.000s     4.672e-02     4.867e-02     1.947e-03
   12      12.000s     4.686e-02     4.241e-02    -4.452e-03
   13      13.000s     4.009e-02     3.767e-02    -2.426e-03
   14      14.000s     3.529e-02     3.394e-02    -1.350e-03
   15      15.000s     4.078e-02     3.090e-02    -9.873e-03
   16      16.000s     4.761e-02     2.835e-02    -1.925e-02
   17      17.000s     4.369e-02     2.615e-02    -1.754e-02
   18      18.000s     3.268e-02     2.421e-02    -8.472e-03
   19      19.000s     2.536e-02     2.247e-02    -2.882e-03
   20      20.000s     2.206e-02     2.090e-02    -1.167e-03
   21      21.000s     1.701e-02     1.945e-02     2.448e-03
   22      22.000s     1.147e-02     1.813e-02     6.657e-03
   23      23.000s     1.008e-02     1.690e-02     6.815e-03
   24      24.000s     1.041e-02     1.576e-02     5.345e-03
   25      25.000s     7.797e-03     1.470e-02     6.905e-03
   26      26.000s     4.969e-03     1.372e-02     8.749e-03
   27      27.000s     6.582e-03     1.280e-02     6.219e-03
   28      28.000s     9.488e-03     1.195e-02     2.459e-03
   29      29.000s     8.276e-03     1.115e-02     2.874e-03
   30      30.000s     5.406e-03     1.041e-02     5.000e-03

============================================================

