SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/DSS-d2o-100mM-5-10-11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 3397 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.986e+00    -9.717e+03  
T     =       1.929s       91.906m  

RSS   =    4.755e-03
SD    =    1.259e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.000e+00     1.658e-06
    2       2.000s     7.178e-01     7.044e-01    -1.341e-02
    3       3.000s     4.004e-01     4.195e-01     1.905e-02
    4       4.000s     2.235e-01     2.498e-01     2.626e-02
    5       5.000s     1.612e-01     1.487e-01    -1.249e-02
    6       6.000s     1.137e-01     8.858e-02    -2.515e-02
    7       7.000s     6.032e-02     5.275e-02    -7.568e-03
    8       8.000s     3.473e-02     3.141e-02    -3.315e-03
    9       9.000s     3.345e-02     1.871e-02    -1.474e-02
   10      10.000s     2.429e-02     1.114e-02    -1.315e-02
   11      11.000s     6.839e-03     6.633e-03    -2.057e-04
   12      12.000s     3.588e-03     3.950e-03     3.625e-04
   13      13.000s     1.207e-02     2.352e-03    -9.715e-03
   14      14.000s     1.289e-02     1.401e-03    -1.149e-02
   15      15.000s     9.126e-03     8.341e-04    -8.292e-03
   16      16.000s     1.691e-02     4.967e-04    -1.641e-02
   17      17.000s     2.930e-02     2.958e-04    -2.901e-02
   18      18.000s     2.594e-02     1.761e-04    -2.577e-02
   19      19.000s     9.856e-03     1.049e-04    -9.751e-03
   20      20.000s     1.977e-03     6.246e-05    -1.915e-03
   21      21.000s     5.416e-03     3.720e-05    -5.379e-03
   22      22.000s     5.053e-03     2.215e-05    -5.031e-03
   23      23.000s    -2.013e-03     1.319e-05     2.027e-03
   24      24.000s    -3.716e-03     7.855e-06     3.724e-03
   25      25.000s     1.560e-03     4.677e-06    -1.555e-03
   26      26.000s     2.426e-03     2.785e-06    -2.423e-03
   27      27.000s    -2.907e-03     1.659e-06     2.908e-03
   28      28.000s    -4.177e-03     9.877e-07     4.178e-03
   29      29.000s     2.602e-04     5.882e-07    -2.596e-04
   30      30.000s     8.867e-04     3.503e-07    -8.864e-04

============================================================

