SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/DSS-d2o-100mM-5-10-11/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 162 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.664e+00     1.153e-02  
T     =       2.056s       85.747s  

RSS   =    1.404e-02
SD    =    2.163e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.035e+00     3.466e-02
    2       2.000s     7.261e-01     6.404e-01    -8.563e-02
    3       3.000s     3.887e-01     3.980e-01     9.305e-03
    4       4.000s     1.950e-01     2.489e-01     5.383e-02
    5       5.000s     1.418e-01     1.571e-01     1.535e-02
    6       6.000s     1.113e-01     1.007e-01    -1.065e-02
    7       7.000s     5.995e-02     6.593e-02     5.980e-03
    8       8.000s     2.878e-02     4.451e-02     1.573e-02
    9       9.000s     3.210e-02     3.129e-02    -8.102e-04
   10      10.000s     3.337e-02     2.312e-02    -1.025e-02
   11      11.000s     1.714e-02     1.805e-02     9.093e-04
   12      12.000s     7.976e-03     1.489e-02     6.911e-03
   13      13.000s     1.597e-02     1.290e-02    -3.073e-03
   14      14.000s     2.088e-02     1.163e-02    -9.246e-03
   15      15.000s     1.565e-02     1.081e-02    -4.835e-03
   16      16.000s     1.805e-02     1.026e-02    -7.784e-03
   17      17.000s     3.145e-02     9.886e-03    -2.157e-02
   18      18.000s     3.469e-02     9.612e-03    -2.508e-02
   19      19.000s     2.021e-02     9.402e-03    -1.081e-02
   20      20.000s     7.481e-03     9.233e-03     1.752e-03
   21      21.000s     8.547e-03     9.089e-03     5.419e-04
   22      22.000s     1.082e-02     8.961e-03    -1.858e-03
   23      23.000s     4.478e-03     8.843e-03     4.365e-03
   24      24.000s    -6.433e-04     8.732e-03     9.375e-03
   25      25.000s     3.017e-03     8.625e-03     5.609e-03
   26      26.000s     6.127e-03     8.522e-03     2.395e-03
   27      27.000s     1.674e-03     8.421e-03     6.747e-03
   28      28.000s    -1.876e-03     8.322e-03     1.020e-02
   29      29.000s     1.989e-03     8.225e-03     6.236e-03
   30      30.000s     5.441e-03     8.129e-03     2.688e-03

============================================================

