SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/cq_00533-100mm-d2o-11-5-10/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 116 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.318e+00    -3.373e-03  
T     =       3.973s      201.029s  

RSS   =    5.271e-03
SD    =    1.325e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.021e+00     2.100e-02
    2       2.000s     8.198e-01     7.931e-01    -2.668e-02
    3       3.000s     6.376e-01     6.159e-01    -2.177e-02
    4       4.000s     4.780e-01     4.781e-01     1.333e-04
    5       5.000s     3.559e-01     3.710e-01     1.509e-02
    6       6.000s     2.726e-01     2.877e-01     1.516e-02
    7       7.000s     2.129e-01     2.230e-01     1.011e-02
    8       8.000s     1.632e-01     1.727e-01     9.459e-03
    9       9.000s     1.239e-01     1.335e-01     9.629e-03
   10      10.000s     9.831e-02     1.031e-01     4.811e-03
   11      11.000s     8.059e-02     7.948e-02    -1.112e-03
   12      12.000s     6.387e-02     6.110e-02    -2.770e-03
   13      13.000s     5.090e-02     4.681e-02    -4.095e-03
   14      14.000s     4.661e-02     3.571e-02    -1.091e-02
   15      15.000s     4.666e-02     2.708e-02    -1.958e-02
   16      16.000s     4.288e-02     2.037e-02    -2.251e-02
   17      17.000s     3.487e-02     1.516e-02    -1.971e-02
   18      18.000s     2.748e-02     1.111e-02    -1.636e-02
   19      19.000s     2.112e-02     7.968e-03    -1.315e-02
   20      20.000s     1.298e-02     5.528e-03    -7.457e-03
   21      21.000s     4.517e-03     3.633e-03    -8.840e-04
   22      22.000s    -3.174e-04     2.164e-03     2.481e-03
   23      23.000s    -2.335e-03     1.025e-03     3.359e-03
   24      24.000s    -5.596e-03     1.421e-04     5.738e-03
   25      25.000s    -1.015e-02    -5.407e-04     9.608e-03
   26      26.000s    -1.263e-02    -1.068e-03     1.157e-02
   27      27.000s    -1.284e-02    -1.475e-03     1.137e-02
   28      28.000s    -1.374e-02    -1.789e-03     1.195e-02
   29      29.000s    -1.584e-02    -2.029e-03     1.381e-02
   30      30.000s    -1.703e-02    -2.213e-03     1.481e-02

============================================================

