SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00019-d20-100mm-4-4-11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 2575 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    4.436e+01    -4.297e+01  
T     =       4.535s        4.579s  

RSS   =    1.261e-02
SD    =    2.050e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.043e+00     4.290e-02
    2       2.000s     8.128e-01     7.778e-01    -3.506e-02
    3       3.000s     6.092e-01     5.766e-01    -3.263e-02
    4       4.000s     4.544e-01     4.245e-01    -2.989e-02
    5       5.000s     3.256e-01     3.100e-01    -1.555e-02
    6       6.000s     2.018e-01     2.241e-01     2.232e-02
    7       7.000s     1.126e-01     1.601e-01     4.747e-02
    8       8.000s     7.832e-02     1.126e-01     3.423e-02
    9       9.000s     6.700e-02     7.754e-02     1.054e-02
   10      10.000s     4.335e-02     5.196e-02     8.615e-03
   11      11.000s     1.747e-02     3.345e-02     1.598e-02
   12      12.000s     1.274e-02     2.022e-02     7.479e-03
   13      13.000s     2.019e-02     1.090e-02    -9.291e-03
   14      14.000s     1.843e-02     4.470e-03    -1.396e-02
   15      15.000s     1.192e-02     1.513e-04    -1.177e-02
   16      16.000s     1.628e-02    -2.639e-03    -1.892e-02
   17      17.000s     2.482e-02    -4.336e-03    -2.916e-02
   18      18.000s     2.069e-02    -5.261e-03    -2.595e-02
   19      19.000s     8.245e-03    -5.654e-03    -1.390e-02
   20      20.000s     4.129e-03    -5.687e-03    -9.816e-03
   21      21.000s     7.390e-03    -5.488e-03    -1.288e-02
   22      22.000s     4.426e-03    -5.146e-03    -9.572e-03
   23      23.000s    -4.279e-03    -4.726e-03    -4.473e-04
   24      24.000s    -6.574e-03    -4.272e-03     2.303e-03
   25      25.000s    -2.307e-03    -3.813e-03    -1.506e-03
   26      26.000s    -2.341e-03    -3.369e-03    -1.028e-03
   27      27.000s    -7.436e-03    -2.952e-03     4.483e-03
   28      28.000s    -8.262e-03    -2.569e-03     5.693e-03
   29      29.000s    -4.261e-03    -2.222e-03     2.039e-03
   30      30.000s    -4.006e-03    -1.912e-03     2.094e-03

============================================================

