SIMFIT RESULTS
==============

Dataset : /opt/topspin3.0/data/mfjofre/nmr/cq_00246-D2O-100mM-9-2-11_414/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 424 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.763e+00     3.453e-02  
T     =       1.751s       13.543s  

RSS   =    1.167e-02
SD    =    1.972e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.028e+00    2.792e-02
    2       2.000s     6.725e-01     5.923e-01   -8.018e-02
    3       3.000s     3.186e-01     3.454e-01    2.682e-02
    4       4.000s     1.726e-01     2.052e-01    3.256e-02
    5       5.000s     9.975e-02     1.253e-01    2.552e-02
    6       6.000s     6.842e-02     7.945e-02    1.102e-02
    7       7.000s     4.843e-02     5.295e-02    4.517e-03
    8       8.000s     4.149e-02     3.740e-02   -4.088e-03
    9       9.000s     3.882e-02     2.809e-02   -1.073e-02
   10      10.000s     4.584e-02     2.233e-02   -2.351e-02
   11      11.000s     3.932e-02     1.862e-02   -2.070e-02
   12      12.000s     3.642e-02     1.610e-02   -2.033e-02
   13      13.000s     2.409e-02     1.427e-02   -9.813e-03
   14      14.000s     1.594e-02     1.287e-02   -3.070e-03
   15      15.000s     1.069e-02     1.174e-02    1.048e-03
   16      16.000s     7.582e-03     1.078e-02    3.201e-03
   17      17.000s     6.356e-03     9.947e-03    3.591e-03
   18      18.000s     6.799e-03     9.200e-03    2.402e-03
   19      19.000s     3.551e-03     8.523e-03    4.972e-03
   20      20.000s     2.270e-03     7.904e-03    5.635e-03
   21      21.000s     5.890e-04     7.334e-03    6.746e-03
   22      22.000s     2.281e-03     6.808e-03    4.527e-03
   23      23.000s     2.740e-03     6.322e-03    3.582e-03
   24      24.000s     3.996e-03     5.870e-03    1.875e-03
   25      25.000s     2.703e-03     5.452e-03    2.749e-03
   26      26.000s     3.763e-03     5.063e-03    1.300e-03
   27      27.000s     1.471e-03     4.703e-03    3.232e-03
   28      28.000s     3.358e-04     4.368e-03    4.032e-03
   29      29.000s    -2.156e-03     4.057e-03    6.213e-03
   30      30.000s    -2.524e-04     3.768e-03    4.021e-03

============================================================

