SIMFIT RESULTS
==============

Dataset : /opt/topspin3.0/data/mfjofre/nmr/cq_00246-D2O-100mM-9-2-11_414/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 215 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.595e+00    -6.437e-01  
T     =       2.198s      244.607m  

RSS   =    1.505e-02
SD    =    2.240e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.001e+00    1.150e-03
    2       2.000s     6.772e-01     6.419e-01   -3.538e-02
    3       3.000s     3.655e-01     4.073e-01    4.188e-02
    4       4.000s     2.253e-01     2.584e-01    3.313e-02
    5       5.000s     1.539e-01     1.640e-01    1.011e-02
    6       6.000s     1.122e-01     1.040e-01   -8.171e-03
    7       7.000s     8.411e-02     6.600e-02   -1.811e-02
    8       8.000s     6.694e-02     4.188e-02   -2.506e-02
    9       9.000s     5.869e-02     2.657e-02   -3.213e-02
   10      10.000s     5.760e-02     1.686e-02   -4.074e-02
   11      11.000s     5.504e-02     1.069e-02   -4.435e-02
   12      12.000s     5.178e-02     6.785e-03   -4.500e-02
   13      13.000s     4.228e-02     4.305e-03   -3.798e-02
   14      14.000s     2.935e-02     2.731e-03   -2.662e-02
   15      15.000s     1.975e-02     1.733e-03   -1.801e-02
   16      16.000s     1.497e-02     1.099e-03   -1.387e-02
   17      17.000s     1.160e-02     6.976e-04   -1.090e-02
   18      18.000s     9.326e-03     4.426e-04   -8.883e-03
   19      19.000s     8.291e-03     2.808e-04   -8.010e-03
   20      20.000s     7.484e-03     1.782e-04   -7.306e-03
   21      21.000s     6.468e-03     1.130e-04   -6.355e-03
   22      22.000s     6.511e-03     7.171e-05   -6.439e-03
   23      23.000s     5.572e-03     4.550e-05   -5.526e-03
   24      24.000s     3.711e-03     2.887e-05   -3.682e-03
   25      25.000s     3.184e-03     1.831e-05   -3.166e-03
   26      26.000s     2.318e-03     1.162e-05   -2.306e-03
   27      27.000s     1.435e-03     7.372e-06   -1.428e-03
   28      28.000s     1.386e-03     4.677e-06   -1.381e-03
   29      29.000s     1.618e-03     2.968e-06   -1.615e-03
   30      30.000s     1.826e-03     1.883e-06   -1.824e-03

============================================================

