SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00133_100M_D2O_3-11-11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.466e+00     7.703e-03  
T     =       2.940s    40966392315209.180s  

RSS   =    1.311e-02
SD    =    2.091e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.051e+00     5.081e-02
    2       2.000s     8.190e-01     7.501e-01    -6.889e-02
    3       3.000s     5.777e-01     5.360e-01    -4.169e-02
    4       4.000s     3.734e-01     3.837e-01     1.036e-02
    5       5.000s     2.500e-01     2.753e-01     2.528e-02
    6       6.000s     1.799e-01     1.982e-01     1.824e-02
    7       7.000s     1.249e-01     1.432e-01     1.836e-02
    8       8.000s     8.202e-02     1.042e-01     2.215e-02
    9       9.000s     6.035e-02     7.636e-02     1.601e-02
   10      10.000s     4.966e-02     5.656e-02     6.900e-03
   11      11.000s     3.551e-02     4.248e-02     6.969e-03
   12      12.000s     2.287e-02     3.245e-02     9.576e-03
   13      13.000s     2.286e-02     2.532e-02     2.454e-03
   14      14.000s     3.012e-02     2.024e-02    -9.882e-03
   15      15.000s     3.222e-02     1.662e-02    -1.560e-02
   16      16.000s     2.982e-02     1.405e-02    -1.577e-02
   17      17.000s     3.034e-02     1.222e-02    -1.812e-02
   18      18.000s     3.099e-02     1.092e-02    -2.007e-02
   19      19.000s     2.448e-02     9.991e-03    -1.449e-02
   20      20.000s     1.454e-02     9.331e-03    -5.214e-03
   21      21.000s     1.041e-02     8.862e-03    -1.548e-03
   22      22.000s     1.113e-02     8.528e-03    -2.598e-03
   23      23.000s     9.022e-03     8.290e-03    -7.318e-04
   24      24.000s     4.358e-03     8.120e-03     3.763e-03
   25      25.000s     3.498e-03     8.000e-03     4.502e-03
   26      26.000s     5.935e-03     7.914e-03     1.979e-03
   27      27.000s     5.519e-03     7.853e-03     2.335e-03
   28      28.000s     2.324e-03     7.810e-03     5.486e-03
   29      29.000s     1.889e-03     7.779e-03     5.890e-03
   30      30.000s     4.228e-03     7.757e-03     3.528e-03

============================================================

