SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000051-d2o-satd-7-18-11-pH-11.15/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 390 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.445e+00     1.067e-02  
T     =       2.998s     1182.960s  

RSS   =    1.115e-02
SD    =    1.928e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.046e+00     4.590e-02
    2       2.000s     8.131e-01     7.523e-01    -6.081e-02
    3       3.000s     5.804e-01     5.419e-01    -3.850e-02
    4       4.000s     3.861e-01     3.912e-01     5.098e-03
    5       5.000s     2.603e-01     2.833e-01     2.294e-02
    6       6.000s     1.839e-01     2.059e-01     2.202e-02
    7       7.000s     1.310e-01     1.505e-01     1.957e-02
    8       8.000s     9.275e-02     1.108e-01     1.808e-02
    9       9.000s     6.863e-02     8.239e-02     1.376e-02
   10      10.000s     5.371e-02     6.202e-02     8.309e-03
   11      11.000s     4.244e-02     4.742e-02     4.977e-03
   12      12.000s     3.481e-02     3.696e-02     2.150e-03
   13      13.000s     3.254e-02     2.946e-02    -3.075e-03
   14      14.000s     3.373e-02     2.409e-02    -9.646e-03
   15      15.000s     3.515e-02     2.024e-02    -1.491e-02
   16      16.000s     3.586e-02     1.748e-02    -1.839e-02
   17      17.000s     3.551e-02     1.549e-02    -2.002e-02
   18      18.000s     3.226e-02     1.407e-02    -1.819e-02
   19      19.000s     2.560e-02     1.305e-02    -1.255e-02
   20      20.000s     1.848e-02     1.232e-02    -6.163e-03
   21      21.000s     1.389e-02     1.179e-02    -2.102e-03
   22      22.000s     1.135e-02     1.141e-02     6.396e-05
   23      23.000s     8.989e-03     1.113e-02     2.145e-03
   24      24.000s     6.927e-03     1.093e-02     4.007e-03
   25      25.000s     6.105e-03     1.079e-02     4.684e-03
   26      26.000s     5.829e-03     1.068e-02     4.853e-03
   27      27.000s     4.897e-03     1.060e-02     5.706e-03
   28      28.000s     3.809e-03     1.054e-02     6.734e-03
   29      29.000s     3.655e-03     1.050e-02     6.844e-03
   30      30.000s     3.951e-03     1.046e-02     6.513e-03

============================================================

