SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/ravi/nmr/CQ-00526-D2O-031210/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 781 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.899e+00    -6.566e-01  
T     =       5.869s        9.735s  

RSS   =    3.240e-03
SD    =    1.039e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.009e+00     8.650e-03
    2       2.000s     8.118e-01     8.157e-01     3.826e-03
    3       3.000s     6.654e-01     6.563e-01    -9.142e-03
    4       4.000s     5.428e-01     5.250e-01    -1.781e-02
    5       5.000s     4.250e-01     4.170e-01    -7.932e-03
    6       6.000s     3.239e-01     3.285e-01     4.586e-03
    7       7.000s     2.525e-01     2.561e-01     3.642e-03
    8       8.000s     1.994e-01     1.971e-01    -2.248e-03
    9       9.000s     1.475e-01     1.492e-01     1.698e-03
   10      10.000s     9.721e-02     1.104e-01     1.323e-02
   11      11.000s     5.899e-02     7.926e-02     2.027e-02
   12      12.000s     3.569e-02     5.432e-02     1.863e-02
   13      13.000s     2.268e-02     3.451e-02     1.183e-02
   14      14.000s     1.687e-02     1.890e-02     2.038e-03
   15      15.000s     1.600e-02     6.740e-03    -9.263e-03
   16      16.000s     1.455e-02    -2.620e-03    -1.717e-02
   17      17.000s     8.161e-03    -9.702e-03    -1.786e-02
   18      18.000s    -7.652e-04    -1.494e-02    -1.418e-02
   19      19.000s    -7.435e-03    -1.870e-02    -1.127e-02
   20      20.000s    -1.159e-02    -2.128e-02    -9.694e-03
   21      21.000s    -1.595e-02    -2.291e-02    -6.961e-03
   22      22.000s    -2.087e-02    -2.381e-02    -2.938e-03
   23      23.000s    -2.448e-02    -2.412e-02     3.559e-04
   24      24.000s    -2.626e-02    -2.399e-02     2.268e-03
   25      25.000s    -2.708e-02    -2.353e-02     3.552e-03
   26      26.000s    -2.741e-02    -2.282e-02     4.592e-03
   27      27.000s    -2.772e-02    -2.192e-02     5.799e-03
   28      28.000s    -2.888e-02    -2.091e-02     7.967e-03
   29      29.000s    -3.040e-02    -1.982e-02     1.058e-02
   30      30.000s    -3.057e-02    -1.868e-02     1.189e-02

============================================================

