SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/ravi/nmr/CQ-00526-D2O-031210/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.444e+00    -1.105e-02  
T     =       2.910s    82417730791801.391s  

RSS   =    7.951e-03
SD    =    1.628e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.013e+00     1.314e-02
    2       2.000s     7.545e-01     7.153e-01    -3.917e-02
    3       3.000s     5.019e-01     5.041e-01     2.213e-03
    4       4.000s     3.255e-01     3.543e-01     2.877e-02
    5       5.000s     2.263e-01     2.480e-01     2.177e-02
    6       6.000s     1.659e-01     1.727e-01     6.830e-03
    7       7.000s     1.210e-01     1.193e-01    -1.687e-03
    8       8.000s     8.811e-02     8.137e-02    -6.735e-03
    9       9.000s     6.473e-02     5.450e-02    -1.023e-02
   10      10.000s     4.617e-02     3.543e-02    -1.073e-02
   11      11.000s     3.262e-02     2.192e-02    -1.071e-02
   12      12.000s     2.561e-02     1.233e-02    -1.328e-02
   13      13.000s     2.190e-02     5.529e-03    -1.637e-02
   14      14.000s     1.806e-02     7.070e-04    -1.736e-02
   15      15.000s     1.560e-02    -2.713e-03    -1.831e-02
   16      16.000s     1.578e-02    -5.138e-03    -2.092e-02
   17      17.000s     1.454e-02    -6.858e-03    -2.140e-02
   18      18.000s     8.090e-03    -8.078e-03    -1.617e-02
   19      19.000s    -1.031e-03    -8.943e-03    -7.913e-03
   20      20.000s    -8.401e-03    -9.557e-03    -1.156e-03
   21      21.000s    -1.384e-02    -9.992e-03     3.845e-03
   22      22.000s    -1.869e-02    -1.030e-02     8.387e-03
   23      23.000s    -2.166e-02    -1.052e-02     1.114e-02
   24      24.000s    -2.206e-02    -1.067e-02     1.139e-02
   25      25.000s    -2.304e-02    -1.079e-02     1.225e-02
   26      26.000s    -2.679e-02    -1.086e-02     1.593e-02
   27      27.000s    -3.033e-02    -1.092e-02     1.941e-02
   28      28.000s    -3.041e-02    -1.096e-02     1.945e-02
   29      29.000s    -2.920e-02    -1.099e-02     1.822e-02
   30      30.000s    -3.041e-02    -1.101e-02     1.940e-02

============================================================

