SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00026-100mm-d2o-12-16-10/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 125 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.271e+00    -9.566e-02  
T     =       7.032s      132.856s  

RSS   =    4.191e-03
SD    =    1.182e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.008e+00     7.570e-03
    2       2.000s     8.835e-01     8.621e-01    -2.132e-02
    3       3.000s     7.588e-01     7.361e-01    -2.276e-02
    4       4.000s     6.217e-01     6.268e-01     5.149e-03
    5       5.000s     5.012e-01     5.321e-01     3.094e-02
    6       6.000s     4.210e-01     4.500e-01     2.905e-02
    7       7.000s     3.674e-01     3.790e-01     1.158e-02
    8       8.000s     3.161e-01     3.174e-01     1.252e-03
    9       9.000s     2.664e-01     2.640e-01    -2.350e-03
   10      10.000s     2.279e-01     2.179e-01    -9.995e-03
   11      11.000s     1.947e-01     1.779e-01    -1.683e-02
   12      12.000s     1.550e-01     1.433e-01    -1.173e-02
   13      13.000s     1.134e-01     1.134e-01     4.121e-07
   14      14.000s     8.365e-02     8.749e-02     3.843e-03
   15      15.000s     6.683e-02     6.513e-02    -1.704e-03
   16      16.000s     5.248e-02     4.581e-02    -6.670e-03
   17      17.000s     3.649e-02     2.913e-02    -7.360e-03
   18      18.000s     2.248e-02     1.474e-02    -7.735e-03
   19      19.000s     1.022e-02     2.339e-03    -7.884e-03
   20      20.000s    -3.551e-03    -8.341e-03    -4.790e-03
   21      21.000s    -1.624e-02    -1.753e-02    -1.283e-03
   22      22.000s    -2.308e-02    -2.542e-02    -2.339e-03
   23      23.000s    -2.716e-02    -3.219e-02    -5.022e-03
   24      24.000s    -3.539e-02    -3.798e-02    -2.591e-03
   25      25.000s    -4.676e-02    -4.293e-02     3.823e-03
   26      26.000s    -5.440e-02    -4.715e-02     7.249e-03
   27      27.000s    -5.717e-02    -5.074e-02     6.427e-03
   28      28.000s    -6.018e-02    -5.378e-02     6.399e-03
   29      29.000s    -6.549e-02    -5.634e-02     9.153e-03
   30      30.000s    -7.023e-02    -5.849e-02     1.174e-02

============================================================

