SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/cq_00079-100mm-d2o-10-29-10/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.189e+00    -3.677e-02  
T     =       5.526s    469263840410596.000s  

RSS   =    9.375e-03
SD    =    1.768e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.556e-01    -4.437e-02
    2       2.000s     7.943e-01     7.914e-01    -2.977e-03
    3       3.000s     6.138e-01     6.543e-01     4.052e-02
    4       4.000s     5.003e-01     5.399e-01     3.956e-02
    5       5.000s     4.252e-01     4.444e-01     1.920e-02
    6       6.000s     3.583e-01     3.648e-01     6.508e-03
    7       7.000s     2.980e-01     2.983e-01     3.418e-04
    8       8.000s     2.486e-01     2.429e-01    -5.746e-03
    9       9.000s     2.053e-01     1.966e-01    -8.690e-03
   10      10.000s     1.662e-01     1.579e-01    -8.253e-03
   11      11.000s     1.368e-01     1.257e-01    -1.106e-02
   12      12.000s     1.159e-01     9.882e-02    -1.708e-02
   13      13.000s     9.467e-02     7.638e-02    -1.829e-02
   14      14.000s     7.174e-02     5.765e-02    -1.409e-02
   15      15.000s     5.564e-02     4.202e-02    -1.362e-02
   16      16.000s     4.827e-02     2.898e-02    -1.929e-02
   17      17.000s     3.984e-02     1.810e-02    -2.174e-02
   18      18.000s     2.433e-02     9.016e-03    -1.531e-02
   19      19.000s     8.054e-03     1.437e-03    -6.616e-03
   20      20.000s    -2.402e-03    -4.886e-03    -2.484e-03
   21      21.000s    -9.861e-03    -1.016e-02    -3.029e-04
   22      22.000s    -1.860e-02    -1.457e-02     4.029e-03
   23      23.000s    -2.627e-02    -1.824e-02     8.026e-03
   24      24.000s    -3.005e-02    -2.131e-02     8.736e-03
   25      25.000s    -3.301e-02    -2.387e-02     9.138e-03
   26      26.000s    -3.827e-02    -2.600e-02     1.227e-02
   27      27.000s    -4.310e-02    -2.778e-02     1.532e-02
   28      28.000s    -4.450e-02    -2.927e-02     1.523e-02
   29      29.000s    -4.507e-02    -3.051e-02     1.456e-02
   30      30.000s    -4.805e-02    -3.155e-02     1.650e-02

============================================================

