SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/cq_00533-100mm-d2o-11-5-10/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.502e+00    -1.418e-02  
T     =       2.699s    896463789420029.375s  

RSS   =    6.168e-03
SD    =    1.434e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.023e+00     2.282e-02
    2       2.000s     7.464e-01     7.018e-01    -4.463e-02
    3       3.000s     4.881e-01     4.801e-01    -7.977e-03
    4       4.000s     3.073e-01     3.271e-01     1.972e-02
    5       5.000s     2.060e-01     2.214e-01     1.541e-02
    6       6.000s     1.414e-01     1.485e-01     7.061e-03
    7       7.000s     8.966e-02     9.811e-02     8.449e-03
    8       8.000s     5.490e-02     6.334e-02     8.446e-03
    9       9.000s     3.807e-02     3.934e-02     1.272e-03
   10      10.000s     2.720e-02     2.277e-02    -4.429e-03
   11      11.000s     1.594e-02     1.133e-02    -4.610e-03
   12      12.000s     9.643e-03     3.435e-03    -6.208e-03
   13      13.000s     1.055e-02    -2.017e-03    -1.256e-02
   14      14.000s     1.217e-02    -5.782e-03    -1.795e-02
   15      15.000s     1.064e-02    -8.380e-03    -1.902e-02
   16      16.000s     8.972e-03    -1.017e-02    -1.915e-02
   17      17.000s     7.738e-03    -1.141e-02    -1.915e-02
   18      18.000s     2.378e-03    -1.227e-02    -1.465e-02
   19      19.000s    -7.453e-03    -1.286e-02    -5.405e-03
   20      20.000s    -1.533e-02    -1.327e-02     2.065e-03
   21      21.000s    -1.791e-02    -1.355e-02     4.359e-03
   22      22.000s    -1.922e-02    -1.374e-02     5.481e-03
   23      23.000s    -2.244e-02    -1.388e-02     8.560e-03
   24      24.000s    -2.480e-02    -1.397e-02     1.084e-02
   25      25.000s    -2.407e-02    -1.403e-02     1.004e-02
   26      26.000s    -2.302e-02    -1.408e-02     8.946e-03
   27      27.000s    -2.417e-02    -1.411e-02     1.006e-02
   28      28.000s    -2.546e-02    -1.413e-02     1.133e-02
   29      29.000s    -2.488e-02    -1.414e-02     1.073e-02
   30      30.000s    -2.430e-02    -1.415e-02     1.015e-02

============================================================

